specimen_id,species,canopy_zone,vigor,crown_height_m,trunk_girth_cm,bark_glow,vitality_index
FX-0131,Thornlace,Mistfen Reach,Thriving,13.4,12.5,52.1,47.5
FX-0132,Thornlace,Sunspire Heights,Thriving,18.7,12.6,49.8,53.4
FX-0133,Bloomspire,Mistfen Reach,Waning,18.4,36.2,38.3,67.6
FX-0134,Ghostplane,Hollowdeep,Thriving,17.8,31.3,46.3,43.4
FX-0135,Ghostplane,Hollowdeep,Thriving,14.8,33.7,54.3,36.8
FX-0136,Glasszelkova,Mistfen Reach,Thriving,29.5,13.2,58.1,41.6
FX-0137,Emberoak,Mistfen Reach,Radiant,25.0,25.3,72.0,65.0
FX-0138,Emberoak,Mistfen Reach,Thriving,26.0,25.8,64.6,69.2
FX-0139,Emberoak,Cragside,Thriving,27.3,29.4,60.4,66.5
FX-0140,Whispering Linden,Mistfen Reach,Radiant,27.3,21.0,88.4,47.5
FX-0141,Duskmaple,Cragside,Thriving,21.0,24.2,64.7,64.3
FX-0142,Coralmaple,Cragside,Thriving,28.8,19.0,47.0,71.4
FX-0143,Ghostplane,Mistfen Reach,Waning,18.1,32.3,31.5,44.1
FX-0144,Ironcrown Oak,Mistfen Reach,Radiant,22.2,31.8,70.3,67.9
FX-0145,Ghostplane,Sunspire Heights,Radiant,27.2,33.0,83.1,55.9
FX-0146,Ghostplane,Sunspire Heights,Thriving,27.8,29.3,45.1,52.1
FX-0147,Verdant Ash,Mistfen Reach,Thriving,18.6,14.7,52.7,41.3
FX-0148,Thornlace,Mistfen Reach,Thriving,13.7,11.6,46.0,43.8
FX-0149,Goldfan Ginko,Mistfen Reach,Thriving,34.3,14.2,57.3,68.0
FX-0150,Coralmaple,Mistfen Reach,Waning,27.5,17.2,30.7,66.0
FX-0151,Whispering Linden,Mistfen Reach,Waning,23.7,17.3,31.4,46.1
FX-0152,Ghostplane,Mistfen Reach,Husk,22.7,36.7,2.5,41.5
FX-0153,Goldfan Ginko,Hollowdeep,Husk,32.8,15.5,7.8,56.0
FX-0154,Verdant Ash,Sunspire Heights,Husk,19.4,19.9,2.6,55.9
FX-0155,Thornlace,Mistfen Reach,Thriving,14.5,8.2,49.7,39.6
FX-0156,Bloomspire,Mistfen Reach,Thriving,24.2,39.9,52.6,69.1
FX-0157,Ironcrown Oak,Mistfen Reach,Radiant,25.5,31.4,81.2,68.6
FX-0158,Glasszelkova,Mistfen Reach,Waning,28.7,14.8,27.0,45.5
FX-0159,Thornlace,Mistfen Reach,Thriving,11.8,14.3,56.7,39.5
FX-0160,Thornlace,Mistfen Reach,Radiant,11.9,12.9,86.4,47.9
FX-0161,Goldfan Ginko,Mistfen Reach,Thriving,31.0,16.2,51.9,61.4
FX-0162,Duskmaple,Hollowdeep,Waning,16.2,26.5,26.3,59.1
FX-0163,Emberoak,Sunspire Heights,Waning,28.3,28.7,38.0,76.2
FX-0164,Bloomspire,Cragside,Radiant,22.5,33.5,78.7,72.6
FX-0165,Glasszelkova,Mistfen Reach,Thriving,28.1,10.3,64.2,41.9
FX-0166,Thornlace,Mistfen Reach,Waning,16.0,9.0,35.9,45.8
FX-0167,Duskmaple,Cragside,Thriving,19.5,23.5,55.5,67.6
FX-0168,Whispering Linden,Hollowdeep,Thriving,28.2,14.1,54.4,42.4
FX-0169,Bloomspire,Mistfen Reach,Waning,20.4,39.2,35.9,65.9
FX-0170,Coralmaple,Hollowdeep,Radiant,23.0,22.8,85.3,61.6
FX-0171,Palepear,Sunspire Heights,Thriving,16.3,9.6,53.8,54.1
FX-0172,Glasszelkova,Mistfen Reach,Waning,27.8,11.6,27.3,42.1
FX-0173,Glasszelkova,Sunspire Heights,Thriving,32.7,11.7,59.0,57.2
FX-0174,Thornlace,Hollowdeep,Waning,16.4,10.4,29.0,43.3
FX-0175,Thornlace,Mistfen Reach,Radiant,16.0,17.2,84.9,45.9
FX-0176,Coralmaple,Hollowdeep,Thriving,27.4,17.7,58.7,60.9
FX-0177,Whispering Linden,Mistfen Reach,Thriving,21.9,20.5,58.8,49.1
FX-0178,Whispering Linden,Sunspire Heights,Waning,28.4,14.8,24.4,50.3
FX-0179,Coralmaple,Mistfen Reach,Radiant,28.0,23.5,74.7,67.3
FX-0180,Goldfan Ginko,Mistfen Reach,Thriving,28.7,18.9,54.8,68.1
FX-0181,Glasszelkova,Mistfen Reach,Thriving,31.3,8.5,46.9,44.8
FX-0182,Thornlace,Sunspire Heights,Thriving,15.6,17.6,62.4,55.0
FX-0183,Thornlace,Sunspire Heights,Husk,22.0,20.0,7.6,56.6
FX-0184,Palepear,Mistfen Reach,Thriving,12.1,10.1,54.2,45.6
FX-0185,Verdant Ash,Hollowdeep,Thriving,18.6,14.0,58.1,46.1
FX-0186,Goldfan Ginko,Mistfen Reach,Thriving,28.8,20.7,57.7,67.1
FX-0187,Goldfan Ginko,Sunspire Heights,Thriving,36.8,17.1,61.5,75.3
FX-0188,Palepear,Sunspire Heights,Radiant,19.6,13.3,87.8,55.2
FX-0189,Bloomspire,Cragside,Waning,23.1,35.7,20.7,66.8
FX-0190,Ghostplane,Sunspire Heights,Waning,22.6,32.9,37.9,48.9
FX-0191,Thornlace,Hollowdeep,Waning,15.4,16.4,27.1,39.9
FX-0192,Bloomspire,Hollowdeep,Thriving,17.7,36.7,48.3,65.6
FX-0193,Whispering Linden,Mistfen Reach,Radiant,22.7,20.7,87.4,45.5
FX-0194,Glasszelkova,Mistfen Reach,Radiant,25.4,12.4,88.3,42.3
FX-0195,Emberoak,Cragside,Thriving,24.9,30.5,45.0,69.2
FX-0196,Glasszelkova,Sunspire Heights,Waning,33.5,11.7,27.6,51.9
FX-0197,Duskmaple,Mistfen Reach,Waning,21.0,24.0,24.0,65.3
FX-0198,Ironcrown Oak,Mistfen Reach,Thriving,20.7,32.8,48.4,59.4
FX-0199,Ghostplane,Sunspire Heights,Radiant,22.4,33.0,80.6,59.1
FX-0200,Ghostplane,Sunspire Heights,Radiant,21.6,32.3,89.9,57.5
FX-0201,Bloomspire,Cragside,Radiant,23.0,35.5,79.4,72.4
FX-0202,Bloomspire,Mistfen Reach,Radiant,20.5,34.0,81.5,66.4
FX-0203,Coralmaple,Hollowdeep,Radiant,28.5,22.0,83.7,59.9
FX-0204,Coralmaple,Cragside,Thriving,28.4,15.9,55.9,69.0
FX-0205,Emberoak,Cragside,Thriving,33.1,24.8,59.4,62.1
FX-0206,Emberoak,Hollowdeep,Thriving,25.0,21.8,53.5,61.3
FX-0207,Palepear,Sunspire Heights,Thriving,17.8,16.1,65.1,53.7
FX-0208,Coralmaple,Sunspire Heights,Radiant,35.9,20.0,87.6,82.0
FX-0209,Thornlace,Mistfen Reach,Thriving,16.8,16.0,60.4,39.3
FX-0210,Emberoak,Mistfen Reach,Waning,25.3,22.1,33.4,66.3
FX-0211,Thornlace,Mistfen Reach,Thriving,17.2,13.3,59.2,44.4
FX-0212,Coralmaple,Mistfen Reach,Thriving,28.4,21.7,52.8,69.4
FX-0213,Coralmaple,Sunspire Heights,Thriving,33.4,23.9,49.4,73.5
FX-0214,Verdant Ash,Mistfen Reach,Radiant,20.6,20.4,82.0,47.8
FX-0215,Glasszelkova,Mistfen Reach,Thriving,23.7,9.0,36.5,43.5
FX-0216,Emberoak,Hollowdeep,Waning,25.0,30.9,29.3,62.4
FX-0217,Thornlace,Sunspire Heights,Thriving,18.4,8.5,47.2,53.7
FX-0218,Coralmaple,Mistfen Reach,Thriving,33.6,24.0,53.7,64.7
FX-0219,Whispering Linden,Sunspire Heights,Waning,31.8,16.4,23.3,54.3
FX-0220,Goldfan Ginko,Hollowdeep,Thriving,28.9,15.0,48.8,62.9
FX-0221,Ironcrown Oak,Mistfen Reach,Thriving,24.0,30.3,60.8,62.8
FX-0222,Duskmaple,Cragside,Thriving,18.8,23.0,52.8,64.7
FX-0223,Coralmaple,Cragside,Thriving,31.5,18.2,57.0,67.2
FX-0224,Palepear,Sunspire Heights,Thriving,14.6,11.2,53.9,53.5
FX-0225,Emberoak,Mistfen Reach,Thriving,27.3,26.4,50.5,60.1
FX-0226,Whispering Linden,Mistfen Reach,Thriving,27.4,17.4,56.0,41.7
FX-0227,Goldfan Ginko,Hollowdeep,Thriving,26.9,16.1,62.7,67.3
FX-0228,Duskmaple,Mistfen Reach,Radiant,16.9,29.6,90.6,66.1
FX-0229,Emberoak,Cragside,Radiant,27.6,24.7,83.5,74.3
FX-0230,Glasszelkova,Mistfen Reach,Thriving,23.7,13.0,39.8,46.3
FX-0231,Coralmaple,Hollowdeep,Thriving,25.4,21.0,53.4,64.0
FX-0232,Thornlace,Mistfen Reach,Radiant,14.4,17.2,75.8,43.5
FX-0233,Verdant Ash,Mistfen Reach,Waning,18.3,18.6,39.0,48.1
FX-0234,Thornlace,Mistfen Reach,Radiant,13.5,17.9,78.2,51.5
FX-0235,Ironcrown Oak,Mistfen Reach,Thriving,23.1,32.5,50.5,63.8
FX-0236,Palepear,Sunspire Heights,Radiant,17.9,7.5,73.6,55.1
FX-0237,Duskmaple,Hollowdeep,Radiant,15.8,21.4,86.0,65.2
FX-0238,Whispering Linden,Sunspire Heights,Thriving,33.0,14.4,58.0,56.4
FX-0239,Ghostplane,Hollowdeep,Husk,16.8,32.3,13.0,39.9
FX-0240,Goldfan Ginko,Hollowdeep,Thriving,32.4,13.3,49.9,62.3
FX-0241,Ghostplane,Sunspire Heights,Thriving,25.6,33.1,59.0,54.6
FX-0242,Duskmaple,Cragside,Radiant,15.9,22.7,86.4,68.2
FX-0243,Whispering Linden,Mistfen Reach,Husk,25.6,16.3,10.8,45.2
FX-0244,Ghostplane,Sunspire Heights,Thriving,21.4,36.1,54.9,55.2
FX-0245,Thornlace,Sunspire Heights,Radiant,20.3,13.8,78.4,54.8
FX-0246,Coralmaple,Mistfen Reach,Waning,29.8,20.6,33.0,64.6
FX-0247,Verdant Ash,Mistfen Reach,Thriving,17.3,15.0,58.8,43.1
FX-0248,Coralmaple,Cragside,Thriving,31.1,23.1,45.3,62.1
FX-0249,Emberoak,Sunspire Heights,Thriving,33.2,26.1,57.4,73.2
FX-0250,Ghostplane,Sunspire Heights,Thriving,24.8,33.1,59.1,55.3
FX-0251,Ironcrown Oak,Mistfen Reach,Radiant,23.1,29.1,73.1,65.2
FX-0252,Glasszelkova,Sunspire Heights,Thriving,26.9,12.7,55.6,62.2
FX-0253,Thornlace,Cragside,Thriving,10.2,14.3,57.1,48.7
FX-0254,Glasszelkova,Hollowdeep,Thriving,25.0,9.3,58.2,46.4
FX-0255,Whispering Linden,Sunspire Heights,Radiant,30.1,13.8,88.3,50.3
FX-0256,Verdant Ash,Sunspire Heights,Thriving,22.9,17.8,48.7,52.3
FX-0257,Ironcrown Oak,Cragside,Waning,24.4,26.6,27.2,69.2
FX-0258,Ironcrown Oak,Mistfen Reach,Thriving,21.4,30.7,45.0,65.8
FX-0259,Duskmaple,Cragside,Waning,18.3,26.7,23.0,70.1
FX-0260,Ghostplane,Sunspire Heights,Radiant,24.0,26.3,84.1,59.1
FX-0261,Glasszelkova,Hollowdeep,Thriving,28.8,13.1,59.6,41.2
FX-0262,Thornlace,Hollowdeep,Thriving,10.7,13.6,48.2,41.2
FX-0263,Duskmaple,Cragside,Thriving,18.3,23.1,51.1,68.1
FX-0264,Duskmaple,Cragside,Waning,19.9,26.2,18.8,69.7
FX-0265,Palepear,Hollowdeep,Thriving,8.0,9.1,53.5,44.2
FX-0266,Whispering Linden,Sunspire Heights,Radiant,29.5,22.1,74.9,56.2
FX-0267,Thornlace,Mistfen Reach,Waning,15.4,12.9,32.4,46.2
FX-0268,Palepear,Sunspire Heights,Radiant,16.5,8.4,78.9,56.3
FX-0269,Goldfan Ginko,Hollowdeep,Radiant,33.6,18.4,87.1,61.9
FX-0270,Thornlace,Sunspire Heights,Husk,21.7,16.3,0.0,53.2
FX-0271,Whispering Linden,Sunspire Heights,Thriving,33.3,14.9,54.2,52.3
FX-0272,Thornlace,Sunspire Heights,Thriving,25.0,14.0,51.8,44.8
FX-0273,Coralmaple,Cragside,Thriving,32.4,19.9,56.5,66.7
FX-0274,Palepear,Mistfen Reach,Waning,8.2,9.3,28.7,44.3
FX-0275,Verdant Ash,Sunspire Heights,Radiant,25.2,14.5,72.3,52.6
FX-0276,Ghostplane,Sunspire Heights,Radiant,24.2,36.7,87.2,56.9
FX-0277,Ironcrown Oak,Mistfen Reach,Husk,27.2,28.3,6.2,64.9
FX-0278,Glasszelkova,Sunspire Heights,Radiant,32.7,11.6,79.6,53.3
FX-0279,Glasszelkova,Mistfen Reach,Radiant,26.1,13.9,79.5,44.0
FX-0280,Glasszelkova,Hollowdeep,Thriving,27.8,10.8,60.7,45.3
FX-0281,Emberoak,Cragside,Thriving,24.5,30.8,52.0,67.4
FX-0282,Whispering Linden,Hollowdeep,Waning,22.5,16.3,30.4,38.8
FX-0283,Coralmaple,Mistfen Reach,Thriving,25.3,24.6,59.0,65.9
FX-0284,Glasszelkova,Sunspire Heights,Thriving,32.7,11.7,61.9,48.2
FX-0285,Verdant Ash,Hollowdeep,Thriving,13.1,21.7,63.3,43.3
FX-0286,Verdant Ash,Cragside,Thriving,18.0,18.0,43.3,50.4
FX-0287,Duskmaple,Mistfen Reach,Thriving,19.9,21.5,54.2,64.1
FX-0288,Thornlace,Hollowdeep,Thriving,14.3,14.3,49.6,47.1
FX-0289,Ghostplane,Sunspire Heights,Thriving,23.9,32.6,50.6,57.3
FX-0290,Coralmaple,Mistfen Reach,Waning,34.5,22.3,30.5,64.8
FX-0291,Whispering Linden,Hollowdeep,Thriving,27.8,19.1,57.8,47.2
FX-0292,Verdant Ash,Hollowdeep,Thriving,15.4,16.0,64.5,40.2
FX-0293,Emberoak,Mistfen Reach,Thriving,28.7,26.3,52.5,66.2
FX-0294,Verdant Ash,Sunspire Heights,Thriving,20.3,17.9,52.4,49.7
FX-0295,Thornlace,Sunspire Heights,Thriving,22.1,20.5,45.1,52.1
FX-0296,Ironcrown Oak,Hollowdeep,Thriving,25.0,25.9,59.7,62.1
FX-0297,Palepear,Hollowdeep,Thriving,12.3,1.0,54.2,45.5
FX-0298,Emberoak,Hollowdeep,Thriving,27.4,24.3,59.9,60.6
FX-0299,Thornlace,Hollowdeep,Thriving,11.1,14.3,58.5,42.6
FX-0300,Thornlace,Sunspire Heights,Thriving,16.1,14.5,49.3,52.0
FX-0301,Duskmaple,Cragside,Thriving,21.9,27.8,49.7,66.0
FX-0302,Glasszelkova,Sunspire Heights,Waning,32.4,6.8,27.3,53.8
FX-0303,Emberoak,Cragside,Radiant,27.5,28.2,66.6,67.7
FX-0304,Coralmaple,Hollowdeep,Radiant,24.3,19.7,73.3,67.7
FX-0305,Duskmaple,Mistfen Reach,Thriving,17.1,25.6,50.1,62.9
FX-0306,Palepear,Mistfen Reach,Waning,7.6,12.7,36.1,42.4
FX-0307,Coralmaple,Cragside,Radiant,31.9,25.1,84.5,71.0
FX-0308,Emberoak,Mistfen Reach,Radiant,26.9,30.6,78.7,72.7
FX-0309,Coralmaple,Cragside,Waning,29.5,23.6,34.2,66.8
FX-0310,Duskmaple,Mistfen Reach,Thriving,19.5,23.7,57.7,60.9
FX-0311,Emberoak,Cragside,Thriving,30.0,28.9,59.6,61.2
FX-0312,Whispering Linden,Mistfen Reach,Waning,25.4,14.9,34.7,47.4
FX-0313,Verdant Ash,Sunspire Heights,Waning,20.9,20.0,35.2,55.2
FX-0314,Emberoak,Mistfen Reach,Thriving,23.8,27.2,54.3,62.5
FX-0315,Glasszelkova,Sunspire Heights,Thriving,35.0,5.9,55.6,53.3
FX-0316,Goldfan Ginko,Sunspire Heights,Radiant,39.4,14.2,79.6,76.6
FX-0317,Ironcrown Oak,Cragside,Thriving,25.9,36.7,56.8,62.9
FX-0318,Palepear,Sunspire Heights,Waning,18.7,5.0,24.5,54.8
FX-0319,Whispering Linden,Sunspire Heights,Thriving,31.2,17.7,61.6,51.8
FX-0320,Ironcrown Oak,Hollowdeep,Thriving,17.0,26.5,51.0,66.4
FX-0321,Verdant Ash,Sunspire Heights,Radiant,19.4,19.6,80.4,54.7
FX-0322,Palepear,Hollowdeep,Thriving,10.6,6.3,53.2,43.1
FX-0323,Emberoak,Cragside,Thriving,26.9,31.2,64.5,65.9
FX-0324,Thornlace,Mistfen Reach,Radiant,15.6,5.7,86.6,48.9
FX-0325,Thornlace,Sunspire Heights,Thriving,20.7,14.3,47.7,58.1
FX-0326,Emberoak,Hollowdeep,Waning,25.0,24.8,16.5,66.8
FX-0327,Coralmaple,Cragside,Waning,28.3,14.5,35.5,66.1
FX-0328,Ghostplane,Sunspire Heights,Thriving,25.5,31.8,62.2,50.9
FX-0329,Emberoak,Mistfen Reach,Waning,27.4,27.2,27.8,60.2
