amphora_id,type,region,varietal,vintage,fixed_acidity,volatile_acidity,residual_sugar,chlorides,pH,sulphates,alcohol,quality_score
AMPH-0046,red,Thasos,Aminean,-245,8.054,0.485,2.87,0.104,3.32,0.767,12.08,9.0
AMPH-0047,white,Rhodes,Apian,-246,7.332,0.301,5.14,0.033,3.3,0.512,10.74,8.14
AMPH-0048,white,Thasos,Duracina,-247,5.553,0.287,6.67,0.036,3.36,0.337,10.06,5.91
AMPH-0049,red,Thasos,Helvola,-247,9.189,0.397,4.93,0.086,3.38,0.791,10.65,6.13
AMPH-0050,white,Kos,Eugenia,-246,7.093,0.202,4.35,0.035,3.05,0.724,9.93,8.25
AMPH-0051,red,Kos,Duracina,-246,7.739,0.545,1.9,0.083,3.29,0.526,9.62,5.26
AMPH-0052,red,Chios,Eugenia,-246,8.436,0.543,2.28,0.093,3.26,0.297,10.01,7.43
AMPH-0053,white,Chios,Apian,-246,6.485,0.367,7.61,0.058,3.1,0.782,11.91,7.72
AMPH-0054,red,Chios,Eugenia,-246,8.292,0.474,1.3,0.086,3.32,0.713,9.79,7.54
AMPH-0055,white,Kos,Aminean,-246,6.507,0.335,9.88,0.035,3.26,0.531,12.16,7.91
AMPH-0056,white,Kos,Eugenia,-246,6.865,0.218,5.76,0.047,3.15,0.657,10.54,8.28
AMPH-0057,red,Chios,Aminean,-246,8.382,0.575,0.6,0.084,3.46,0.703,12.84,6.75
AMPH-0058,white,Thasos,Duracina,-245,6.343,0.34,7.78,0.04,3.21,0.379,9.18,6.41
AMPH-0059,white,Rhodes,Apian,-245,6.178,0.264,7.23,0.037,3.05,0.28,10.91,7.05
AMPH-0060,white,Chios,Eugenia,-247,7.104,0.26,8.79,0.054,3.08,0.252,9.98,7.94
AMPH-0061,white,Thasos,Duracina,-246,6.559,0.256,5.01,0.041,3.18,0.713,9.53,6.31
AMPH-0062,red,Thasos,Argitis,-246,7.052,0.47,2.46,0.089,3.25,0.69,14.21,6.47
AMPH-0063,white,Rhodes,Argitis,-245,7.378,0.221,8.23,0.037,3.19,0.513,14.39,5.06
AMPH-0064,red,Kos,Apian,-246,7.909,0.456,4.83,0.087,3.35,0.559,11.56,7.7
AMPH-0065,white,Chios,Eugenia,-245,7.203,0.233,4.3,0.038,3.25,0.713,10.76,7.37
AMPH-0066,white,Chios,Aminean,-247,6.838,0.291,7.15,0.046,3.31,0.417,12.76,8.33
AMPH-0067,white,Kos,Aminean,-247,6.983,0.279,4.58,0.027,3.27,0.758,12.74,8.47
AMPH-0068,red,Thasos,Duracina,-247,8.996,0.558,2.9,0.074,3.3,0.609,10.31,6.19
AMPH-0069,white,Kos,Helvola,-247,6.354,0.25,5.6,0.045,3.11,0.726,11.16,5.87
AMPH-0070,white,Kos,Apian,-247,6.463,0.255,6.14,0.056,3.19,0.267,11.23,7.93
AMPH-0071,white,Rhodes,Eugenia,-246,7.244,0.367,7.12,0.026,3.13,0.7,9.78,7.53
AMPH-0072,white,Kos,Eugenia,-246,6.799,0.284,5.71,0.04,3.27,0.511,10.16,7.92
AMPH-0073,white,Rhodes,Duracina,-245,6.453,0.321,5.49,0.035,3.25,0.443,9.19,5.24
AMPH-0074,white,Kos,Apian,-245,6.557,0.275,4.91,0.05,3.21,0.498,11.21,7.67
AMPH-0075,white,Rhodes,Helvola,-247,6.572,0.261,9.65,0.047,3.38,0.48,11.11,5.52
AMPH-0076,red,Thasos,Argitis,-246,9.077,0.554,2.14,0.082,3.41,0.839,14.3,6.21
AMPH-0077,red,Chios,Apian,-247,7.747,0.575,3.59,0.098,3.44,0.695,11.65,7.8
AMPH-0078,red,Thasos,Helvola,-247,8.291,0.476,2.63,0.069,3.34,0.567,10.25,5.89
AMPH-0079,red,Kos,Argitis,-247,8.632,0.598,0.95,0.095,3.33,0.56,14.01,5.29
AMPH-0080,white,Chios,Apian,-246,7.118,0.342,6.94,0.054,3.29,0.302,11.69,7.32
AMPH-0081,white,Kos,Aminean,-247,5.922,0.37,7.47,0.047,3.25,0.434,12.18,8.0
AMPH-0082,red,Rhodes,Aminean,-247,8.402,0.464,3.96,0.079,3.35,0.626,13.2,7.75
AMPH-0083,red,Rhodes,Argitis,-245,9.341,0.504,2.63,0.098,3.31,0.678,13.83,5.25
AMPH-0084,white,Thasos,Argitis,-247,7.298,0.31,5.52,0.045,3.18,0.358,13.48,6.17
AMPH-0085,red,Kos,Helvola,-247,7.788,0.549,1.75,0.096,3.23,0.643,11.66,5.31
AMPH-0086,white,Kos,Aminean,-247,7.306,0.365,6.3,0.057,3.19,0.745,11.95,7.7
AMPH-0087,white,Thasos,Aminean,-247,7.142,0.249,4.3,0.043,3.18,0.506,13.03,8.88
AMPH-0088,white,Thasos,Argitis,-245,5.87,0.306,5.26,0.055,3.19,0.2,14.22,7.48
AMPH-0089,white,Chios,Eugenia,-247,7.408,0.242,5.48,0.035,3.08,0.2,9.53,7.55
AMPH-0090,red,Rhodes,Helvola,-245,7.374,0.514,2.1,0.093,3.28,0.673,10.43,4.96
AMPH-0091,white,Chios,Eugenia,-246,8.013,0.245,4.24,0.047,3.14,0.384,10.93,7.85
AMPH-0092,red,Thasos,Duracina,-245,7.708,0.499,2.75,0.083,3.32,0.64,10.35,6.11
AMPH-0093,white,Kos,Aminean,-245,6.819,0.293,5.79,0.041,3.29,0.296,12.57,8.32
AMPH-0094,white,Chios,Apian,-246,5.939,0.242,5.9,0.048,3.25,0.439,12.48,7.84
AMPH-0095,red,Rhodes,Argitis,-246,8.467,0.573,2.9,0.086,3.36,0.729,13.31,5.29
AMPH-0096,white,Thasos,Argitis,-246,6.79,0.289,6.18,0.044,3.27,0.57,13.33,6.29
AMPH-0097,white,Chios,Argitis,-247,6.786,0.289,5.69,0.049,3.35,0.717,13.56,5.17
AMPH-0098,white,Kos,Eugenia,-246,7.172,0.317,5.74,0.041,3.29,0.556,10.03,7.48
AMPH-0099,white,Chios,Eugenia,-245,6.095,0.302,7.87,0.043,3.16,0.223,10.14,8.13
AMPH-0100,white,Rhodes,Helvola,-247,6.692,0.323,7.79,0.056,3.2,0.427,10.8,5.58
AMPH-0101,white,Thasos,Helvola,-246,6.526,0.228,7.09,0.043,3.1,0.456,9.77,6.11
AMPH-0102,white,Kos,Argitis,-246,5.609,0.243,6.01,0.041,3.15,0.51,13.76,6.17
AMPH-0103,white,Thasos,Helvola,-246,7.972,0.278,7.26,0.062,3.06,0.74,11.49,6.56
AMPH-0104,red,Chios,Apian,-247,7.945,0.494,4.27,0.087,3.35,0.595,10.96,7.74
AMPH-0105,red,Thasos,Helvola,-245,8.403,0.555,1.16,0.077,3.33,0.694,11.6,5.65
AMPH-0106,white,Rhodes,Helvola,-247,6.95,0.254,5.87,0.043,3.18,0.256,10.33,6.86
AMPH-0107,white,Chios,Eugenia,-246,7.704,0.297,6.75,0.048,3.1,0.557,10.32,7.68
AMPH-0108,red,Chios,Aminean,-245,8.238,0.552,2.32,0.098,3.28,0.746,11.89,7.42
AMPH-0109,red,Thasos,Duracina,-246,7.895,0.561,2.44,0.097,3.41,1.01,9.31,6.96
AMPH-0110,white,Kos,Aminean,-245,6.398,0.313,7.24,0.047,3.36,0.468,12.72,8.36
AMPH-0111,white,Chios,Helvola,-246,7.216,0.187,5.85,0.047,3.33,0.466,10.93,4.86
AMPH-0112,white,Kos,Aminean,-247,6.803,0.293,5.56,0.029,3.3,0.481,12.58,8.18
AMPH-0113,red,Chios,Aminean,-245,8.819,0.518,1.57,0.095,3.37,0.917,12.72,7.63
AMPH-0114,red,Rhodes,Duracina,-247,7.039,0.561,1.71,0.082,3.27,0.467,8.96,4.92
AMPH-0115,white,Rhodes,Apian,-247,7.811,0.355,6.86,0.042,3.16,0.392,10.75,7.95
AMPH-0116,white,Chios,Aminean,-245,7.724,0.285,4.39,0.044,3.12,0.475,12.54,7.71
AMPH-0117,red,Chios,Eugenia,-246,9.254,0.626,1.86,0.102,3.36,0.831,9.51,7.54
AMPH-0118,white,Rhodes,Argitis,-245,6.4,0.215,5.41,0.029,3.12,0.524,13.95,4.99
AMPH-0119,white,Thasos,Argitis,-245,6.718,0.316,6.14,0.045,3.12,0.407,13.53,6.56
AMPH-0120,red,Thasos,Helvola,-245,8.254,0.555,4.02,0.079,3.34,0.785,10.58,6.25
AMPH-0121,white,Kos,Aminean,-247,6.726,0.264,5.62,0.062,3.19,0.5,12.41,8.06
AMPH-0122,white,Rhodes,Argitis,-247,6.63,0.296,7.14,0.057,3.12,0.475,13.96,5.18
AMPH-0123,red,Thasos,Argitis,-247,8.594,0.483,3.28,0.084,3.35,0.566,14.14,5.86
AMPH-0124,white,Thasos,Argitis,-247,6.268,0.215,7.06,0.059,3.15,0.661,14.07,6.04
AMPH-0125,white,Rhodes,Apian,-246,6.727,0.292,8.95,0.042,3.2,0.625,11.62,7.1
AMPH-0126,white,Kos,Eugenia,-247,6.016,0.334,9.51,0.039,3.21,0.32,10.27,7.84
AMPH-0127,white,Thasos,Helvola,-247,6.624,0.262,7.51,0.049,3.33,0.383,11.12,5.91
AMPH-0128,white,Kos,Duracina,-247,6.78,0.275,5.41,0.046,3.21,0.543,10.33,5.73
AMPH-0129,white,Kos,Apian,-247,6.913,0.26,8.72,0.051,3.13,0.538,11.89,7.74
AMPH-0130,red,Kos,Duracina,-247,8.627,0.572,2.78,0.079,3.37,0.549,10.75,5.51
AMPH-0131,red,Thasos,Helvola,-247,8.092,0.593,0.6,0.084,3.34,0.675,10.98,6.97
AMPH-0132,red,Thasos,Helvola,-245,8.337,0.497,2.55,0.076,3.35,0.69,11.13,6.13
AMPH-0133,red,Rhodes,Helvola,-245,8.103,0.503,2.47,0.097,3.43,0.729,11.35,4.44
AMPH-0134,red,Kos,Argitis,-247,7.084,0.571,2.08,0.076,3.2,0.521,13.22,5.83
AMPH-0135,white,Thasos,Duracina,-246,6.787,0.332,6.93,0.056,3.32,0.315,9.59,5.98
AMPH-0136,red,Kos,Eugenia,-246,8.819,0.536,1.65,0.101,3.3,0.624,10.17,7.94
AMPH-0137,red,Rhodes,Duracina,-247,7.221,0.572,3.23,0.102,3.28,0.522,8.41,5.5
AMPH-0138,red,Chios,Aminean,-246,7.601,0.481,3.59,0.082,3.36,0.603,12.75,7.84
AMPH-0139,red,Chios,Apian,-246,8.765,0.544,3.11,0.074,3.26,0.775,11.39,7.98
AMPH-0140,white,Kos,Duracina,-245,7.92,0.319,5.41,0.076,3.24,0.492,10.01,5.34
AMPH-0141,white,Thasos,Argitis,-247,6.752,0.26,5.35,0.033,3.3,0.615,14.46,6.13
AMPH-0142,white,Rhodes,Apian,-245,6.4,0.255,8.33,0.051,3.21,0.238,10.83,8.47
AMPH-0143,white,Thasos,Helvola,-246,7.119,0.209,6.68,0.036,3.19,0.246,10.65,5.59
AMPH-0144,red,Rhodes,Helvola,-247,8.403,0.524,4.26,0.084,3.44,0.511,11.11,4.89
AMPH-0145,red,Chios,Eugenia,-245,8.799,0.507,2.94,0.092,3.32,0.545,10.29,7.32
AMPH-0146,red,Kos,Argitis,-246,7.975,0.441,3.51,0.095,3.32,0.584,14.02,5.73
AMPH-0147,red,Thasos,Duracina,-246,7.973,0.527,2.45,0.091,3.13,0.948,10.19,6.42
AMPH-0148,white,Chios,Apian,-247,7.038,0.388,6.33,0.048,3.17,0.546,11.87,8.26
AMPH-0149,white,Kos,Helvola,-247,6.801,0.217,3.67,0.046,3.17,0.665,11.23,5.49
AMPH-0150,red,Kos,Helvola,-246,7.543,0.44,1.76,0.085,3.2,0.935,10.47,5.74
AMPH-0151,red,Chios,Eugenia,-247,6.652,0.516,2.54,0.084,3.38,0.658,10.36,8.34
AMPH-0152,white,Chios,Aminean,-245,6.985,0.223,5.73,0.048,3.07,0.635,12.68,6.78
AMPH-0153,white,Rhodes,Apian,-246,6.677,0.329,5.49,0.047,3.24,0.589,11.87,7.97
AMPH-0154,red,Chios,Aminean,-246,7.97,0.482,1.27,0.095,3.33,0.734,12.05,7.74
AMPH-0155,red,Thasos,Helvola,-246,9.712,0.49,3.65,0.087,3.42,1.115,11.0,6.25
AMPH-0156,red,Thasos,Eugenia,-246,8.99,0.516,1.34,0.089,3.43,0.512,10.23,8.9
AMPH-0157,white,Chios,Apian,-247,5.268,0.318,6.54,0.037,3.06,0.415,11.94,7.46
AMPH-0158,red,Rhodes,Aminean,-245,7.435,0.506,3.73,0.073,3.32,0.573,12.09,8.26
AMPH-0159,white,Rhodes,Aminean,-247,6.0,0.352,8.69,0.051,3.22,0.814,11.82,8.15
AMPH-0160,white,Kos,Duracina,-247,7.755,0.254,6.48,0.037,3.2,0.334,10.09,5.79
AMPH-0161,white,Chios,Apian,-245,7.011,0.248,6.75,0.051,3.19,0.407,11.04,7.31
AMPH-0162,red,Thasos,Argitis,-247,8.426,0.534,2.78,0.09,3.35,0.618,13.33,6.02
AMPH-0163,white,Kos,Aminean,-245,7.526,0.244,5.65,0.023,3.09,0.527,11.74,8.88
AMPH-0164,red,Thasos,Duracina,-247,8.161,0.531,3.68,0.105,3.38,0.488,9.8,6.32
AMPH-0165,red,Kos,Apian,-245,8.428,0.611,3.61,0.087,3.25,0.67,11.42,7.52
AMPH-0166,red,Chios,Apian,-246,8.196,0.527,3.51,0.091,3.44,0.894,10.93,7.38
AMPH-0167,red,Kos,Apian,-246,7.49,0.672,2.1,0.107,3.38,0.653,10.86,8.12
AMPH-0168,white,Chios,Eugenia,-245,6.826,0.27,6.4,0.037,3.24,0.311,10.12,7.85
AMPH-0169,red,Thasos,Argitis,-246,9.465,0.488,4.22,0.092,3.39,0.483,12.95,5.97
AMPH-0170,white,Thasos,Helvola,-247,7.715,0.299,7.51,0.036,3.15,0.326,10.76,6.31
AMPH-0171,red,Rhodes,Aminean,-245,8.059,0.594,0.71,0.074,3.25,0.516,12.08,8.17
AMPH-0172,red,Thasos,Helvola,-245,8.035,0.513,1.22,0.089,3.28,0.915,11.43,6.45
AMPH-0173,white,Chios,Aminean,-247,7.387,0.318,7.5,0.045,3.19,0.625,12.46,7.34
AMPH-0174,white,Chios,Duracina,-247,7.032,0.299,7.22,0.044,3.16,0.366,9.18,5.98
AMPH-0175,red,Chios,Eugenia,-246,8.169,0.532,2.46,0.112,3.36,0.559,9.86,8.15
AMPH-0176,red,Chios,Eugenia,-246,7.558,0.453,2.15,0.091,3.43,0.815,10.59,7.01
AMPH-0177,white,Thasos,Aminean,-247,6.517,0.235,6.88,0.036,3.35,0.354,11.78,8.49
AMPH-0178,red,Thasos,Helvola,-245,8.944,0.532,4.01,0.074,3.26,0.565,10.74,5.82
AMPH-0179,red,Thasos,Helvola,-247,9.272,0.605,1.42,0.082,3.23,0.82,10.41,5.91
AMPH-0180,white,Kos,Duracina,-247,7.54,0.226,5.95,0.035,3.15,0.37,9.61,6.26
AMPH-0181,red,Rhodes,Argitis,-246,8.47,0.518,0.6,0.073,3.37,0.638,14.46,4.39
AMPH-0182,white,Kos,Argitis,-246,6.456,0.321,4.72,0.05,3.1,0.385,14.33,5.82
AMPH-0183,white,Rhodes,Eugenia,-246,7.095,0.361,6.84,0.031,3.29,0.508,10.74,8.12
AMPH-0184,white,Chios,Eugenia,-246,6.629,0.4,7.07,0.058,3.24,0.637,10.7,8.05
AMPH-0185,white,Thasos,Argitis,-245,6.962,0.241,5.85,0.039,3.26,0.568,14.8,6.08
AMPH-0186,red,Thasos,Argitis,-246,7.205,0.57,1.97,0.095,3.24,0.461,13.12,5.44
AMPH-0187,red,Rhodes,Aminean,-246,7.273,0.467,1.11,0.093,3.39,0.601,12.07,7.65
AMPH-0188,red,Rhodes,Eugenia,-246,9.192,0.515,3.98,0.1,3.28,0.503,10.09,7.78
AMPH-0189,white,Rhodes,Eugenia,-247,7.44,0.352,6.32,0.051,3.22,0.55,10.23,8.27
AMPH-0190,red,Kos,Duracina,-245,8.743,0.528,4.01,0.098,3.39,0.578,9.14,4.89
AMPH-0191,red,Thasos,Duracina,-245,8.375,0.526,1.36,0.093,3.33,0.63,9.44,6.61
AMPH-0192,white,Rhodes,Aminean,-245,6.659,0.244,6.41,0.048,3.39,0.573,11.89,8.04
AMPH-0193,white,Rhodes,Helvola,-247,7.362,0.243,6.6,0.042,3.29,0.447,11.45,5.24
AMPH-0194,white,Chios,Eugenia,-247,6.936,0.262,6.29,0.05,3.22,0.646,10.26,7.99
AMPH-0195,red,Kos,Eugenia,-247,8.655,0.544,3.05,0.085,3.4,0.652,9.92,8.53
AMPH-0196,red,Kos,Duracina,-245,8.681,0.537,2.04,0.074,3.35,0.788,10.19,5.59
AMPH-0197,white,Thasos,Helvola,-247,7.358,0.298,6.23,0.052,3.13,0.589,10.64,5.69
AMPH-0198,white,Kos,Helvola,-247,7.083,0.272,6.5,0.037,3.04,0.688,10.36,5.71
AMPH-0199,white,Thasos,Argitis,-247,7.554,0.301,7.85,0.056,3.0,0.273,14.38,6.46
AMPH-0200,red,Rhodes,Duracina,-246,9.278,0.491,2.17,0.096,3.34,0.752,9.75,5.35
AMPH-0201,red,Thasos,Apian,-247,7.751,0.623,2.69,0.081,3.37,0.733,11.53,8.43
AMPH-0202,red,Kos,Helvola,-245,8.292,0.476,2.88,0.082,3.37,0.614,10.5,5.3
AMPH-0203,white,Kos,Duracina,-245,6.718,0.305,4.81,0.054,3.27,0.493,10.3,5.89
AMPH-0204,white,Chios,Apian,-246,6.975,0.255,7.16,0.048,3.15,0.443,11.76,7.5
AMPH-0205,white,Chios,Aminean,-245,7.745,0.227,7.39,0.059,3.06,0.308,12.76,7.57
AMPH-0206,white,Chios,Apian,-246,6.888,0.329,5.03,0.053,3.21,0.581,12.04,7.21
AMPH-0207,red,Rhodes,Aminean,-247,7.682,0.493,4.39,0.093,3.31,0.831,12.55,7.85
AMPH-0208,red,Chios,Apian,-245,7.469,0.525,2.0,0.088,3.34,0.649,11.76,7.14
AMPH-0209,white,Rhodes,Helvola,-246,6.596,0.381,5.59,0.057,3.23,0.2,10.47,5.41
AMPH-0210,red,Chios,Aminean,-247,8.553,0.444,3.41,0.099,3.34,0.624,12.48,6.99
AMPH-0211,white,Thasos,Duracina,-246,7.889,0.245,5.3,0.057,3.26,0.518,9.22,5.85
AMPH-0212,white,Chios,Argitis,-247,7.059,0.213,6.86,0.057,3.2,0.57,13.89,5.56
AMPH-0213,white,Rhodes,Eugenia,-247,7.368,0.307,5.94,0.032,3.1,0.672,9.79,7.38
AMPH-0214,white,Thasos,Helvola,-245,6.697,0.297,7.34,0.05,3.16,0.3,11.43,6.59
AMPH-0215,red,Thasos,Duracina,-245,8.56,0.589,2.81,0.108,3.25,0.863,9.66,5.9
AMPH-0216,red,Rhodes,Duracina,-247,8.778,0.537,2.96,0.083,3.28,0.584,9.84,5.32
AMPH-0217,red,Chios,Aminean,-246,8.539,0.484,3.29,0.078,3.34,0.722,11.1,7.84
AMPH-0218,white,Chios,Argitis,-247,7.327,0.342,7.47,0.038,3.24,0.673,13.12,4.93
AMPH-0219,white,Thasos,Helvola,-247,7.817,0.27,4.29,0.034,3.25,0.732,10.92,6.61
AMPH-0220,white,Chios,Apian,-246,7.805,0.321,7.15,0.046,3.15,0.283,10.52,7.67
AMPH-0221,red,Rhodes,Aminean,-246,7.946,0.5,2.92,0.1,3.15,0.642,12.48,7.43
AMPH-0222,red,Rhodes,Argitis,-245,8.192,0.507,2.56,0.085,3.25,0.422,13.93,5.05
AMPH-0223,white,Kos,Argitis,-247,7.414,0.298,7.5,0.034,3.27,0.561,13.38,5.76
AMPH-0224,white,Chios,Eugenia,-247,6.766,0.22,5.76,0.038,3.14,0.587,10.51,7.66
AMPH-0225,red,Chios,Aminean,-246,8.194,0.548,3.15,0.076,3.27,0.866,12.54,7.4
AMPH-0226,white,Thasos,Eugenia,-246,5.734,0.246,6.21,0.046,3.24,0.725,10.18,8.66
AMPH-0227,white,Chios,Eugenia,-245,5.47,0.263,6.23,0.06,3.3,0.274,10.27,7.2
AMPH-0228,red,Kos,Duracina,-247,8.4,0.57,0.6,0.066,3.35,0.708,9.88,5.54
AMPH-0229,white,Chios,Duracina,-245,6.764,0.326,7.19,0.028,3.12,0.348,9.93,5.49
AMPH-0230,red,Rhodes,Helvola,-245,8.884,0.44,1.55,0.09,3.31,0.592,10.47,5.43
AMPH-0231,red,Thasos,Helvola,-245,8.356,0.494,1.76,0.071,3.3,0.797,10.57,6.49
AMPH-0232,red,Chios,Eugenia,-246,7.899,0.654,4.59,0.073,3.32,0.472,10.09,7.55
AMPH-0233,white,Thasos,Duracina,-247,5.885,0.267,6.53,0.032,3.0,0.681,9.35,6.07
AMPH-0234,white,Chios,Eugenia,-246,6.297,0.249,6.84,0.057,3.25,0.605,9.96,7.71
AMPH-0235,white,Kos,Duracina,-246,7.18,0.269,7.16,0.043,3.19,0.404,9.37,5.91
AMPH-0236,red,Chios,Apian,-246,8.595,0.536,0.6,0.094,3.32,0.427,11.15,7.39
AMPH-0237,white,Chios,Duracina,-245,6.825,0.3,4.95,0.051,3.17,0.638,10.05,4.85
AMPH-0238,white,Rhodes,Aminean,-245,7.572,0.338,5.35,0.037,3.13,0.59,12.05,7.21
AMPH-0239,white,Chios,Eugenia,-245,6.836,0.361,5.19,0.04,3.1,0.258,10.1,7.35
AMPH-0240,white,Kos,Apian,-245,6.475,0.334,5.92,0.041,3.2,0.446,10.76,8.33
AMPH-0241,red,Chios,Aminean,-245,9.614,0.567,3.46,0.095,3.29,0.871,12.33,7.59
AMPH-0242,white,Chios,Aminean,-245,6.534,0.291,4.33,0.044,3.17,0.564,11.46,7.45
AMPH-0243,white,Rhodes,Helvola,-245,6.866,0.261,5.66,0.05,3.24,0.575,10.97,4.77
AMPH-0244,red,Kos,Apian,-245,7.561,0.544,2.12,0.086,3.42,0.393,10.99,7.8
AMPH-0245,white,Thasos,Argitis,-245,8.24,0.212,7.77,0.052,3.17,0.558,12.98,6.61
AMPH-0246,red,Kos,Duracina,-247,8.564,0.556,4.33,0.1,3.41,0.749,9.47,5.84
AMPH-0247,white,Rhodes,Helvola,-245,6.534,0.185,8.44,0.051,3.25,0.517,11.33,5.13
AMPH-0248,red,Kos,Duracina,-245,8.808,0.422,1.89,0.081,3.43,0.586,9.82,5.43
AMPH-0249,white,Chios,Apian,-245,6.178,0.242,8.94,0.053,3.17,0.404,11.64,7.79
AMPH-0250,red,Rhodes,Eugenia,-246,7.784,0.477,1.01,0.095,3.23,0.679,8.82,8.5
AMPH-0251,red,Chios,Apian,-247,6.215,0.531,0.6,0.085,3.26,0.833,11.21,7.21
AMPH-0252,white,Rhodes,Duracina,-246,6.891,0.145,6.48,0.036,3.26,0.609,8.92,5.33
