tree,leaf_colour,grove,parameter,replicate,value
tree_02,red,Sunhollow,nut_diameter_mm,4,24.203
tree_03,gold,Sunhollow,kernel_mass_g,1,30.01
tree_03,gold,Sunhollow,oil_content_pct,1,13.777
tree_03,gold,Sunhollow,kernel_yield_ct,1,40.941
tree_03,gold,Sunhollow,nut_quality_index,1,76.132
tree_03,gold,Sunhollow,protein_pct,1,13.449
tree_03,gold,Sunhollow,moisture_pct,1,8.901
tree_03,gold,Sunhollow,shell_hardness,1,60.643
tree_03,gold,Sunhollow,nut_diameter_mm,1,20.871
tree_03,gold,Sunhollow,kernel_mass_g,2,27.718
tree_03,gold,Sunhollow,oil_content_pct,2,12.415
tree_03,gold,Sunhollow,kernel_yield_ct,2,40.434
tree_03,gold,Sunhollow,nut_quality_index,2,78.835
tree_03,gold,Sunhollow,protein_pct,2,14.461
tree_03,gold,Sunhollow,moisture_pct,2,6.909
tree_03,gold,Sunhollow,shell_hardness,2,47.226
tree_03,gold,Sunhollow,nut_diameter_mm,2,20.785
tree_03,gold,Sunhollow,kernel_mass_g,3,27.97
tree_03,gold,Sunhollow,oil_content_pct,3,12.014
tree_03,gold,Sunhollow,kernel_yield_ct,3,39.096
tree_03,gold,Sunhollow,nut_quality_index,3,77.347
tree_03,gold,Sunhollow,protein_pct,3,14.389
tree_03,gold,Sunhollow,moisture_pct,3,8.536
tree_03,gold,Sunhollow,shell_hardness,3,59.324
tree_03,gold,Sunhollow,nut_diameter_mm,3,21.838
tree_03,gold,Sunhollow,kernel_mass_g,4,34.356
tree_03,gold,Sunhollow,oil_content_pct,4,12.483
tree_03,gold,Sunhollow,kernel_yield_ct,4,41.407
tree_03,gold,Sunhollow,nut_quality_index,4,80.532
tree_03,gold,Sunhollow,protein_pct,4,13.009
tree_03,gold,Sunhollow,moisture_pct,4,7.245
tree_03,gold,Sunhollow,shell_hardness,4,54.812
tree_03,gold,Sunhollow,nut_diameter_mm,4,23.155
tree_04,gold,Sunhollow,kernel_mass_g,1,31.919
tree_04,gold,Sunhollow,oil_content_pct,1,11.1
tree_04,gold,Sunhollow,kernel_yield_ct,1,42.16
tree_04,gold,Sunhollow,nut_quality_index,1,72.656
tree_04,gold,Sunhollow,protein_pct,1,14.269
tree_04,gold,Sunhollow,moisture_pct,1,8.383
tree_04,gold,Sunhollow,shell_hardness,1,54.144
tree_04,gold,Sunhollow,nut_diameter_mm,1,19.321
tree_04,gold,Sunhollow,kernel_mass_g,2,28.524
tree_04,gold,Sunhollow,oil_content_pct,2,12.231
tree_04,gold,Sunhollow,kernel_yield_ct,2,40.761
tree_04,gold,Sunhollow,nut_quality_index,2,75.139
tree_04,gold,Sunhollow,protein_pct,2,14.585
tree_04,gold,Sunhollow,moisture_pct,2,7.513
tree_04,gold,Sunhollow,shell_hardness,2,51.871
tree_04,gold,Sunhollow,nut_diameter_mm,2,22.538
tree_04,gold,Sunhollow,kernel_mass_g,3,29.984
tree_04,gold,Sunhollow,oil_content_pct,3,11.956
tree_04,gold,Sunhollow,kernel_yield_ct,3,39.383
tree_04,gold,Sunhollow,nut_quality_index,3,77.801
tree_04,gold,Sunhollow,protein_pct,3,13.164
tree_04,gold,Sunhollow,moisture_pct,3,10.105
tree_04,gold,Sunhollow,shell_hardness,3,56.135
tree_04,gold,Sunhollow,nut_diameter_mm,3,22.972
tree_04,gold,Sunhollow,kernel_mass_g,4,29.212
tree_04,gold,Sunhollow,oil_content_pct,4,11.657
tree_04,gold,Sunhollow,kernel_yield_ct,4,34.551
tree_04,gold,Sunhollow,nut_quality_index,4,76.699
tree_04,gold,Sunhollow,protein_pct,4,15.672
tree_04,gold,Sunhollow,moisture_pct,4,9.285
tree_04,gold,Sunhollow,shell_hardness,4,50.211
tree_04,gold,Sunhollow,nut_diameter_mm,4,22.104
tree_05,green,Sunhollow,kernel_mass_g,1,29.654
tree_05,green,Sunhollow,oil_content_pct,1,11.513
tree_05,green,Sunhollow,kernel_yield_ct,1,39.04
tree_05,green,Sunhollow,nut_quality_index,1,82.47
tree_05,green,Sunhollow,protein_pct,1,13.113
tree_05,green,Sunhollow,moisture_pct,1,7.818
tree_05,green,Sunhollow,shell_hardness,1,52.933
tree_05,green,Sunhollow,nut_diameter_mm,1,22.629
tree_05,green,Sunhollow,kernel_mass_g,2,33.727
tree_05,green,Sunhollow,oil_content_pct,2,13.362
tree_05,green,Sunhollow,kernel_yield_ct,2,40.272
tree_05,green,Sunhollow,nut_quality_index,2,78.792
tree_05,green,Sunhollow,protein_pct,2,15.191
tree_05,green,Sunhollow,moisture_pct,2,7.51
tree_05,green,Sunhollow,shell_hardness,2,56.316
tree_05,green,Sunhollow,nut_diameter_mm,2,21.934
tree_05,green,Sunhollow,kernel_mass_g,3,31.138
tree_05,green,Sunhollow,oil_content_pct,3,11.926
tree_05,green,Sunhollow,kernel_yield_ct,3,40.498
tree_05,green,Sunhollow,nut_quality_index,3,79.025
tree_05,green,Sunhollow,protein_pct,3,13.525
tree_05,green,Sunhollow,moisture_pct,3,7.814
tree_05,green,Sunhollow,shell_hardness,3,52.977
tree_05,green,Sunhollow,nut_diameter_mm,3,22.315
tree_05,green,Sunhollow,kernel_mass_g,4,35.467
tree_05,green,Sunhollow,oil_content_pct,4,11.823
tree_05,green,Sunhollow,kernel_yield_ct,4,44.124
tree_05,green,Sunhollow,nut_quality_index,4,81.868
tree_05,green,Sunhollow,protein_pct,4,11.119
tree_05,green,Sunhollow,moisture_pct,4,9.556
tree_05,green,Sunhollow,shell_hardness,4,52.237
tree_05,green,Sunhollow,nut_diameter_mm,4,21.68
tree_06,green,Sunhollow,kernel_mass_g,1,30.878
tree_06,green,Sunhollow,oil_content_pct,1,11.883
tree_06,green,Sunhollow,kernel_yield_ct,1,43.546
tree_06,green,Sunhollow,nut_quality_index,1,77.325
tree_06,green,Sunhollow,protein_pct,1,12.816
tree_06,green,Sunhollow,moisture_pct,1,7.792
tree_06,green,Sunhollow,shell_hardness,1,53.154
tree_06,green,Sunhollow,nut_diameter_mm,1,20.836
tree_06,green,Sunhollow,kernel_mass_g,2,33.761
tree_06,green,Sunhollow,oil_content_pct,2,13.283
tree_06,green,Sunhollow,kernel_yield_ct,2,42.769
tree_06,green,Sunhollow,nut_quality_index,2,76.347
tree_06,green,Sunhollow,protein_pct,2,14.026
tree_06,green,Sunhollow,moisture_pct,2,8.588
tree_06,green,Sunhollow,shell_hardness,2,57.085
tree_06,green,Sunhollow,nut_diameter_mm,2,22.589
tree_06,green,Sunhollow,kernel_mass_g,3,30.517
tree_06,green,Sunhollow,oil_content_pct,3,11.174
tree_06,green,Sunhollow,kernel_yield_ct,3,44.073
tree_06,green,Sunhollow,nut_quality_index,3,72.569
tree_06,green,Sunhollow,protein_pct,3,14.777
tree_06,green,Sunhollow,moisture_pct,3,9.327
tree_06,green,Sunhollow,shell_hardness,3,55.494
tree_06,green,Sunhollow,nut_diameter_mm,3,22.322
tree_06,green,Sunhollow,kernel_mass_g,4,32.136
tree_06,green,Sunhollow,oil_content_pct,4,12.979
tree_06,green,Sunhollow,kernel_yield_ct,4,42.565
tree_06,green,Sunhollow,nut_quality_index,4,79.984
tree_06,green,Sunhollow,protein_pct,4,12.575
tree_06,green,Sunhollow,moisture_pct,4,11.085
tree_06,green,Sunhollow,shell_hardness,4,56.547
tree_06,green,Sunhollow,nut_diameter_mm,4,24.127
tree_07,silver,Sunhollow,kernel_mass_g,1,32.68
tree_07,silver,Sunhollow,oil_content_pct,1,13.394
tree_07,silver,Sunhollow,kernel_yield_ct,1,36.931
tree_07,silver,Sunhollow,nut_quality_index,1,70.534
tree_07,silver,Sunhollow,protein_pct,1,14.864
tree_07,silver,Sunhollow,moisture_pct,1,9.062
tree_07,silver,Sunhollow,shell_hardness,1,54.742
tree_07,silver,Sunhollow,nut_diameter_mm,1,24.076
tree_07,silver,Sunhollow,kernel_mass_g,2,33.094
tree_07,silver,Sunhollow,oil_content_pct,2,10.627
tree_07,silver,Sunhollow,kernel_yield_ct,2,38.173
tree_07,silver,Sunhollow,nut_quality_index,2,71.456
tree_07,silver,Sunhollow,protein_pct,2,13.777
tree_07,silver,Sunhollow,moisture_pct,2,9.056
tree_07,silver,Sunhollow,shell_hardness,2,59.733
tree_07,silver,Sunhollow,nut_diameter_mm,2,23.683
tree_07,silver,Sunhollow,kernel_mass_g,3,32.175
tree_07,silver,Sunhollow,oil_content_pct,3,12.067
tree_07,silver,Sunhollow,kernel_yield_ct,3,37.756
tree_07,silver,Sunhollow,nut_quality_index,3,67.929
tree_07,silver,Sunhollow,protein_pct,3,14.486
tree_07,silver,Sunhollow,moisture_pct,3,7.647
tree_07,silver,Sunhollow,shell_hardness,3,56.105
tree_07,silver,Sunhollow,nut_diameter_mm,3,23.033
tree_07,silver,Sunhollow,kernel_mass_g,4,28.545
tree_07,silver,Sunhollow,oil_content_pct,4,11.982
tree_07,silver,Sunhollow,kernel_yield_ct,4,34.493
tree_07,silver,Sunhollow,nut_quality_index,4,68.58
tree_07,silver,Sunhollow,protein_pct,4,15.673
tree_07,silver,Sunhollow,moisture_pct,4,8.402
tree_07,silver,Sunhollow,shell_hardness,4,57.015
tree_07,silver,Sunhollow,nut_diameter_mm,4,21.5
tree_08,silver,Sunhollow,kernel_mass_g,1,30.722
tree_08,silver,Sunhollow,oil_content_pct,1,11.718
tree_08,silver,Sunhollow,kernel_yield_ct,1,38.511
tree_08,silver,Sunhollow,nut_quality_index,1,65.665
tree_08,silver,Sunhollow,protein_pct,1,13.509
tree_08,silver,Sunhollow,moisture_pct,1,7.824
tree_08,silver,Sunhollow,shell_hardness,1,53.233
tree_08,silver,Sunhollow,nut_diameter_mm,1,22.025
tree_08,silver,Sunhollow,kernel_mass_g,2,32.144
tree_08,silver,Sunhollow,oil_content_pct,2,10.992
tree_08,silver,Sunhollow,kernel_yield_ct,2,42.088
tree_08,silver,Sunhollow,nut_quality_index,2,72.087
tree_08,silver,Sunhollow,protein_pct,2,14.024
tree_08,silver,Sunhollow,moisture_pct,2,7.081
tree_08,silver,Sunhollow,shell_hardness,2,57.569
tree_08,silver,Sunhollow,nut_diameter_mm,2,20.469
tree_08,silver,Sunhollow,kernel_mass_g,3,30.965
tree_08,silver,Sunhollow,oil_content_pct,3,10.421
tree_08,silver,Sunhollow,kernel_yield_ct,3,40.16
tree_08,silver,Sunhollow,nut_quality_index,3,63.786
tree_08,silver,Sunhollow,protein_pct,3,14.385
tree_08,silver,Sunhollow,moisture_pct,3,7.583
tree_08,silver,Sunhollow,shell_hardness,3,56.288
tree_08,silver,Sunhollow,nut_diameter_mm,3,20.61
tree_08,silver,Sunhollow,kernel_mass_g,4,26.791
tree_08,silver,Sunhollow,oil_content_pct,4,10.64
tree_08,silver,Sunhollow,kernel_yield_ct,4,40.273
tree_08,silver,Sunhollow,nut_quality_index,4,62.617
tree_08,silver,Sunhollow,protein_pct,4,13.714
tree_08,silver,Sunhollow,moisture_pct,4,7.943
tree_08,silver,Sunhollow,shell_hardness,4,52.408
tree_08,silver,Sunhollow,nut_diameter_mm,4,22.567
tree_09,red,Downbriar,kernel_mass_g,1,26.982
tree_09,red,Downbriar,oil_content_pct,1,12.671
tree_09,red,Downbriar,kernel_yield_ct,1,38.944
tree_09,red,Downbriar,nut_quality_index,1,72.798
tree_09,red,Downbriar,protein_pct,1,14.714
tree_09,red,Downbriar,moisture_pct,1,6.676
tree_09,red,Downbriar,shell_hardness,1,50.089
tree_09,red,Downbriar,nut_diameter_mm,1,22.197
tree_09,red,Downbriar,kernel_mass_g,2,29.557
tree_09,red,Downbriar,oil_content_pct,2,11.477
tree_09,red,Downbriar,kernel_yield_ct,2,37.347
tree_09,red,Downbriar,nut_quality_index,2,70.48
tree_09,red,Downbriar,protein_pct,2,14.418
tree_09,red,Downbriar,moisture_pct,2,7.888
tree_09,red,Downbriar,shell_hardness,2,48.8
tree_09,red,Downbriar,nut_diameter_mm,2,22.209
tree_09,red,Downbriar,kernel_mass_g,3,25.769
tree_09,red,Downbriar,oil_content_pct,3,13.125
tree_09,red,Downbriar,kernel_yield_ct,3,44.725
tree_09,red,Downbriar,nut_quality_index,3,71.588
tree_09,red,Downbriar,protein_pct,3,12.584
tree_09,red,Downbriar,moisture_pct,3,7.99
tree_09,red,Downbriar,shell_hardness,3,57.963
tree_09,red,Downbriar,nut_diameter_mm,3,21.316
tree_09,red,Downbriar,kernel_mass_g,4,28.958
tree_09,red,Downbriar,oil_content_pct,4,11.189
tree_09,red,Downbriar,kernel_yield_ct,4,41.152
tree_09,red,Downbriar,nut_quality_index,4,67.006
tree_09,red,Downbriar,protein_pct,4,15.667
tree_09,red,Downbriar,moisture_pct,4,7.779
tree_09,red,Downbriar,shell_hardness,4,54.974
tree_09,red,Downbriar,nut_diameter_mm,4,21.049
tree_10,red,Downbriar,kernel_mass_g,1,28.839
tree_10,red,Downbriar,oil_content_pct,1,12.558
tree_10,red,Downbriar,kernel_yield_ct,1,35.149
tree_10,red,Downbriar,nut_quality_index,1,68.679
tree_10,red,Downbriar,protein_pct,1,16.313
tree_10,red,Downbriar,moisture_pct,1,7.068
tree_10,red,Downbriar,shell_hardness,1,59.14
tree_10,red,Downbriar,nut_diameter_mm,1,22.016
tree_10,red,Downbriar,kernel_mass_g,2,28.262
tree_10,red,Downbriar,oil_content_pct,2,12.915
tree_10,red,Downbriar,kernel_yield_ct,2,36.744
tree_10,red,Downbriar,nut_quality_index,2,67.897
tree_10,red,Downbriar,protein_pct,2,15.018
tree_10,red,Downbriar,moisture_pct,2,8.487
tree_10,red,Downbriar,shell_hardness,2,55.072
tree_10,red,Downbriar,nut_diameter_mm,2,21.334
tree_10,red,Downbriar,kernel_mass_g,3,29.07
tree_10,red,Downbriar,oil_content_pct,3,13.086
tree_10,red,Downbriar,kernel_yield_ct,3,39.152
tree_10,red,Downbriar,nut_quality_index,3,69.139
tree_10,red,Downbriar,protein_pct,3,15.289
tree_10,red,Downbriar,moisture_pct,3,6.817
tree_10,red,Downbriar,shell_hardness,3,53.312
tree_10,red,Downbriar,nut_diameter_mm,3,23.945
tree_10,red,Downbriar,kernel_mass_g,4,28.575
tree_10,red,Downbriar,oil_content_pct,4,13.34
tree_10,red,Downbriar,kernel_yield_ct,4,42.835
tree_10,red,Downbriar,nut_quality_index,4,67.366
tree_10,red,Downbriar,protein_pct,4,13.202
tree_10,red,Downbriar,moisture_pct,4,8.935
tree_10,red,Downbriar,shell_hardness,4,58.536
tree_10,red,Downbriar,nut_diameter_mm,4,23.32
tree_11,gold,Downbriar,kernel_mass_g,1,27.782
tree_11,gold,Downbriar,oil_content_pct,1,12.379
tree_11,gold,Downbriar,kernel_yield_ct,1,42.222
tree_11,gold,Downbriar,nut_quality_index,1,77.722
tree_11,gold,Downbriar,protein_pct,1,11.689
tree_11,gold,Downbriar,moisture_pct,1,8.642
tree_11,gold,Downbriar,shell_hardness,1,56.204
tree_11,gold,Downbriar,nut_diameter_mm,1,21.645
tree_11,gold,Downbriar,kernel_mass_g,2,29.618
tree_11,gold,Downbriar,oil_content_pct,2,11.777
tree_11,gold,Downbriar,kernel_yield_ct,2,38.625
tree_11,gold,Downbriar,nut_quality_index,2,78.56
tree_11,gold,Downbriar,protein_pct,2,13.962
tree_11,gold,Downbriar,moisture_pct,2,9.222
tree_11,gold,Downbriar,shell_hardness,2,56.513
tree_11,gold,Downbriar,nut_diameter_mm,2,21.456
tree_11,gold,Downbriar,kernel_mass_g,3,27.874
tree_11,gold,Downbriar,oil_content_pct,3,11.695
tree_11,gold,Downbriar,kernel_yield_ct,3,40.292
tree_11,gold,Downbriar,nut_quality_index,3,72.318
tree_11,gold,Downbriar,protein_pct,3,13.181
tree_11,gold,Downbriar,moisture_pct,3,8.367
tree_11,gold,Downbriar,shell_hardness,3,50.892
tree_11,gold,Downbriar,nut_diameter_mm,3,22.74
tree_11,gold,Downbriar,kernel_mass_g,4,27.171
tree_11,gold,Downbriar,oil_content_pct,4,14.274
tree_11,gold,Downbriar,kernel_yield_ct,4,40.592
tree_11,gold,Downbriar,nut_quality_index,4,84.265
tree_11,gold,Downbriar,protein_pct,4,15.32
tree_11,gold,Downbriar,moisture_pct,4,8.427
tree_11,gold,Downbriar,shell_hardness,4,52.578
tree_11,gold,Downbriar,nut_diameter_mm,4,22.173
tree_12,gold,Downbriar,kernel_mass_g,1,28.819
tree_12,gold,Downbriar,oil_content_pct,1,13.414
tree_12,gold,Downbriar,kernel_yield_ct,1,37.07
tree_12,gold,Downbriar,nut_quality_index,1,77.055
tree_12,gold,Downbriar,protein_pct,1,16.694
tree_12,gold,Downbriar,moisture_pct,1,8.341
tree_12,gold,Downbriar,shell_hardness,1,51.558
tree_12,gold,Downbriar,nut_diameter_mm,1,21.635
tree_12,gold,Downbriar,kernel_mass_g,2,29.659
tree_12,gold,Downbriar,oil_content_pct,2,14.344
tree_12,gold,Downbriar,kernel_yield_ct,2,38.143
tree_12,gold,Downbriar,nut_quality_index,2,75.27
tree_12,gold,Downbriar,protein_pct,2,14.778
tree_12,gold,Downbriar,moisture_pct,2,6.445
tree_12,gold,Downbriar,shell_hardness,2,51.639
tree_12,gold,Downbriar,nut_diameter_mm,2,23.204
tree_12,gold,Downbriar,kernel_mass_g,3,29.208
tree_12,gold,Downbriar,oil_content_pct,3,13.087
tree_12,gold,Downbriar,kernel_yield_ct,3,37.756
tree_12,gold,Downbriar,nut_quality_index,3,72.535
tree_12,gold,Downbriar,protein_pct,3,13.081
tree_12,gold,Downbriar,moisture_pct,3,7.428
tree_12,gold,Downbriar,shell_hardness,3,54.77
tree_12,gold,Downbriar,nut_diameter_mm,3,21.972
tree_12,gold,Downbriar,kernel_mass_g,4,31.314
tree_12,gold,Downbriar,oil_content_pct,4,12.205
tree_12,gold,Downbriar,kernel_yield_ct,4,33.796
tree_12,gold,Downbriar,nut_quality_index,4,77.157
tree_12,gold,Downbriar,protein_pct,4,13.161
tree_12,gold,Downbriar,moisture_pct,4,8.129
tree_12,gold,Downbriar,shell_hardness,4,55.278
tree_12,gold,Downbriar,nut_diameter_mm,4,22.4
tree_13,green,Downbriar,kernel_mass_g,1,27.432
tree_13,green,Downbriar,oil_content_pct,1,12.728
tree_13,green,Downbriar,kernel_yield_ct,1,49.72
tree_13,green,Downbriar,nut_quality_index,1,78.291
tree_13,green,Downbriar,protein_pct,1,15.551
tree_13,green,Downbriar,moisture_pct,1,8.136
tree_13,green,Downbriar,shell_hardness,1,60.71
tree_13,green,Downbriar,nut_diameter_mm,1,22.16
tree_13,green,Downbriar,kernel_mass_g,2,26.193
tree_13,green,Downbriar,oil_content_pct,2,11.717
tree_13,green,Downbriar,kernel_yield_ct,2,40.582
tree_13,green,Downbriar,nut_quality_index,2,71.137
tree_13,green,Downbriar,protein_pct,2,13.916
tree_13,green,Downbriar,moisture_pct,2,6.652
tree_13,green,Downbriar,shell_hardness,2,56.659
tree_13,green,Downbriar,nut_diameter_mm,2,22.1
tree_13,green,Downbriar,kernel_mass_g,3,28.051
tree_13,green,Downbriar,oil_content_pct,3,10.958
tree_13,green,Downbriar,kernel_yield_ct,3,39.94
tree_13,green,Downbriar,nut_quality_index,3,73.885
tree_13,green,Downbriar,protein_pct,3,13.355
tree_13,green,Downbriar,moisture_pct,3,8.283
tree_13,green,Downbriar,shell_hardness,3,55.172
tree_13,green,Downbriar,nut_diameter_mm,3,21.508
tree_13,green,Downbriar,kernel_mass_g,4,28.416
tree_13,green,Downbriar,oil_content_pct,4,11.509
tree_13,green,Downbriar,kernel_yield_ct,4,40.8
tree_13,green,Downbriar,nut_quality_index,4,78.017
tree_13,green,Downbriar,protein_pct,4,14.528
tree_13,green,Downbriar,moisture_pct,4,8.85
tree_13,green,Downbriar,shell_hardness,4,53.888
tree_13,green,Downbriar,nut_diameter_mm,4,19.834
tree_14,green,Downbriar,kernel_mass_g,1,25.51
tree_14,green,Downbriar,oil_content_pct,1,11.172
tree_14,green,Downbriar,kernel_yield_ct,1,44.915
tree_14,green,Downbriar,nut_quality_index,1,83.108
tree_14,green,Downbriar,protein_pct,1,12.761
tree_14,green,Downbriar,moisture_pct,1,7.775
tree_14,green,Downbriar,shell_hardness,1,60.79
tree_14,green,Downbriar,nut_diameter_mm,1,20.28
tree_14,green,Downbriar,kernel_mass_g,2,27.479
tree_14,green,Downbriar,oil_content_pct,2,12.729
tree_14,green,Downbriar,kernel_yield_ct,2,41.364
tree_14,green,Downbriar,nut_quality_index,2,74.515
tree_14,green,Downbriar,protein_pct,2,16.973
tree_14,green,Downbriar,moisture_pct,2,8.026
tree_14,green,Downbriar,shell_hardness,2,50.114
tree_14,green,Downbriar,nut_diameter_mm,2,22.984
tree_14,green,Downbriar,kernel_mass_g,3,27.295
tree_14,green,Downbriar,oil_content_pct,3,10.523
tree_14,green,Downbriar,kernel_yield_ct,3,42.428
tree_14,green,Downbriar,nut_quality_index,3,77.061
tree_14,green,Downbriar,protein_pct,3,14.716
tree_14,green,Downbriar,moisture_pct,3,7.781
tree_14,green,Downbriar,shell_hardness,3,59.205
tree_14,green,Downbriar,nut_diameter_mm,3,20.186
tree_14,green,Downbriar,kernel_mass_g,4,28.842
tree_14,green,Downbriar,oil_content_pct,4,12.411
tree_14,green,Downbriar,kernel_yield_ct,4,43.064
tree_14,green,Downbriar,nut_quality_index,4,75.929
tree_14,green,Downbriar,protein_pct,4,12.993
tree_14,green,Downbriar,moisture_pct,4,6.713
tree_14,green,Downbriar,shell_hardness,4,53.201
tree_14,green,Downbriar,nut_diameter_mm,4,21.852
tree_15,silver,Downbriar,kernel_mass_g,1,27.346
tree_15,silver,Downbriar,oil_content_pct,1,12.18
tree_15,silver,Downbriar,kernel_yield_ct,1,40.04
tree_15,silver,Downbriar,nut_quality_index,1,73.531
tree_15,silver,Downbriar,protein_pct,1,15.535
tree_15,silver,Downbriar,moisture_pct,1,8.271
tree_15,silver,Downbriar,shell_hardness,1,60.636
tree_15,silver,Downbriar,nut_diameter_mm,1,22.892
tree_15,silver,Downbriar,kernel_mass_g,2,23.83
tree_15,silver,Downbriar,oil_content_pct,2,11.0
tree_15,silver,Downbriar,kernel_yield_ct,2,40.14
tree_15,silver,Downbriar,nut_quality_index,2,67.025
tree_15,silver,Downbriar,protein_pct,2,14.119
tree_15,silver,Downbriar,moisture_pct,2,6.667
tree_15,silver,Downbriar,shell_hardness,2,55.733
tree_15,silver,Downbriar,nut_diameter_mm,2,23.072
tree_15,silver,Downbriar,kernel_mass_g,3,28.757
tree_15,silver,Downbriar,oil_content_pct,3,14.139
tree_15,silver,Downbriar,kernel_yield_ct,3,40.038
tree_15,silver,Downbriar,nut_quality_index,3,66.677
tree_15,silver,Downbriar,protein_pct,3,16.007
tree_15,silver,Downbriar,moisture_pct,3,7.228
tree_15,silver,Downbriar,shell_hardness,3,66.277
tree_15,silver,Downbriar,nut_diameter_mm,3,21.126
tree_15,silver,Downbriar,kernel_mass_g,4,27.884
tree_15,silver,Downbriar,oil_content_pct,4,11.885
tree_15,silver,Downbriar,kernel_yield_ct,4,43.608
tree_15,silver,Downbriar,nut_quality_index,4,71.571
tree_15,silver,Downbriar,protein_pct,4,14.91
tree_15,silver,Downbriar,moisture_pct,4,7.107
tree_15,silver,Downbriar,shell_hardness,4,57.707
tree_15,silver,Downbriar,nut_diameter_mm,4,22.106
tree_16,silver,Downbriar,kernel_mass_g,1,30.929
tree_16,silver,Downbriar,oil_content_pct,1,11.849
tree_16,silver,Downbriar,kernel_yield_ct,1,37.699
tree_16,silver,Downbriar,nut_quality_index,1,63.953
tree_16,silver,Downbriar,protein_pct,1,14.111
tree_16,silver,Downbriar,moisture_pct,1,8.562
tree_16,silver,Downbriar,shell_hardness,1,61.57
tree_16,silver,Downbriar,nut_diameter_mm,1,22.045
tree_16,silver,Downbriar,kernel_mass_g,2,30.307
tree_16,silver,Downbriar,oil_content_pct,2,12.55
tree_16,silver,Downbriar,kernel_yield_ct,2,38.951
tree_16,silver,Downbriar,nut_quality_index,2,68.563
tree_16,silver,Downbriar,protein_pct,2,14.311
tree_16,silver,Downbriar,moisture_pct,2,7.413
tree_16,silver,Downbriar,shell_hardness,2,56.348
tree_16,silver,Downbriar,nut_diameter_mm,2,21.718
