bloom,district,spore_density,moisture_uptake,nectar_sugar,acidity,filament_length,pigment_load,drift_speed
Emberbloom-42,foundry,59.833,22.065,17.128,6.78,45.925,47.768,17.969
Emberbloom-43,foundry,57.952,24.951,20.496,6.093,43.816,36.313,19.202
Emberbloom-44,foundry,62.224,21.468,20.255,5.553,48.64,37.506,17.605
Spirecap-01,spire,44.842,22.316,11.317,7.16,21.212,42.554,12.977
Spirecap-02,spire,41.353,26.85,13.25,6.033,16.083,36.836,10.182
Spirecap-03,spire,41.469,28.232,19.48,7.372,29.868,41.029,8.899
Spirecap-04,spire,48.117,18.906,8.354,5.836,19.149,43.547,7.434
Spirecap-05,spire,43.823,15.782,12.147,5.136,17.779,44.067,11.574
Spirecap-06,spire,40.121,30.012,14.605,6.257,24.823,36.883,9.899
Spirecap-07,spire,41.959,19.368,12.228,5.819,19.076,35.196,5.441
Spirecap-08,spire,52.594,28.531,10.672,6.3,24.648,35.441,8.942
Spirecap-09,spire,43.515,23.477,14.18,5.868,24.321,43.018,9.703
Spirecap-10,spire,52.177,17.172,14.598,6.414,26.207,40.046,7.419
Spirecap-11,spire,41.922,15.739,13.894,7.022,18.056,41.681,11.33
Spirecap-12,spire,47.613,28.962,14.527,5.526,15.333,40.473,9.241
Spirecap-13,spire,51.474,23.089,15.144,6.115,24.627,34.846,10.409
Spirecap-14,spire,52.996,25.302,11.747,6.775,18.88,44.458,8.445
Spirecap-15,spire,42.875,19.672,15.552,6.064,20.839,37.501,10.557
Spirecap-16,spire,46.158,26.768,15.986,6.947,20.602,45.101,9.24
Spirecap-17,spire,44.592,25.533,11.263,3.9,26.74,39.323,9.342
Spirecap-18,spire,46.898,24.133,13.655,7.097,13.842,36.8,11.391
Spirecap-19,spire,49.173,21.011,5.823,6.194,12.483,46.512,5.109
Spirecap-20,spire,40.697,19.241,15.519,6.267,21.527,42.833,4.952
Spirecap-21,spire,46.078,25.73,10.913,5.528,24.58,41.419,11.654
Spirecap-22,spire,48.152,22.637,12.96,8.043,21.114,53.516,10.41
Spirecap-23,spire,41.741,22.586,11.545,5.06,22.301,43.649,7.981
Spirecap-24,spire,45.071,19.176,13.413,6.53,22.929,36.126,8.223
Spirecap-25,spire,39.302,17.186,12.625,5.732,17.366,50.538,8.083
Spirecap-26,spire,52.892,26.501,12.015,8.148,17.632,45.83,8.689
Spirecap-27,spire,54.105,22.517,14.604,6.992,30.821,41.884,12.913
Spirecap-28,spire,49.972,20.099,16.826,6.729,26.1,42.674,10.159
Spirecap-29,spire,43.427,14.599,11.432,5.74,24.187,32.038,10.22
Spirecap-30,spire,42.869,24.387,19.646,6.324,26.204,44.537,9.893
Spirecap-31,spire,55.878,28.38,20.243,6.914,32.977,39.787,8.331
Spirecap-32,spire,38.477,24.881,12.623,6.761,17.663,48.538,5.63
Spirecap-33,spire,41.731,27.749,17.18,5.934,21.409,42.952,9.896
Spirecap-34,spire,55.229,17.882,17.129,5.559,28.054,44.626,10.876
Spirecap-35,spire,47.902,26.605,14.622,5.991,21.887,40.327,4.719
Spirecap-36,spire,39.788,23.898,12.846,6.723,23.936,45.208,6.107
Spirecap-37,spire,48.536,29.244,16.971,5.964,22.946,42.224,10.488
Spirecap-38,spire,48.418,9.909,7.748,6.293,20.682,38.118,9.27
Dustveil-01,archive,43.164,30.607,19.755,8.557,26.437,51.941,14.115
Dustveil-02,archive,52.717,29.961,17.948,7.306,26.687,51.479,13.076
Dustveil-03,archive,48.882,31.017,22.342,7.84,30.708,44.044,15.229
Dustveil-04,archive,45.209,30.363,13.89,9.25,34.921,44.024,15.335
Dustveil-05,archive,48.319,29.841,15.301,8.812,26.881,46.858,17.017
Dustveil-06,archive,53.426,26.668,15.875,8.187,33.94,40.214,13.986
Dustveil-07,archive,44.978,25.511,13.585,7.762,26.135,47.628,10.666
Dustveil-08,archive,52.287,20.891,22.614,7.752,32.929,43.314,11.996
Dustveil-09,archive,58.848,21.376,15.545,7.458,38.006,46.302,16.093
Dustveil-10,archive,48.906,18.169,15.481,7.544,33.736,43.799,14.401
Dustveil-11,archive,45.225,16.293,13.92,7.34,28.772,47.562,10.426
Dustveil-12,archive,53.817,22.708,19.48,8.987,34.731,43.787,17.579
Dustveil-13,archive,52.663,35.563,18.36,8.212,36.435,51.817,12.711
Dustveil-14,archive,47.878,27.21,15.163,10.452,24.822,49.452,13.825
Dustveil-15,archive,44.985,29.737,10.031,8.02,31.696,47.719,13.097
Dustveil-16,archive,48.831,29.71,12.239,8.089,17.883,50.602,7.886
Dustveil-17,archive,50.632,25.545,13.174,8.241,26.767,53.32,10.682
Dustveil-18,archive,47.636,34.635,11.784,9.261,30.634,55.16,9.282
Dustveil-19,archive,51.344,26.022,20.692,7.395,39.371,32.352,7.975
Dustveil-20,archive,48.258,25.876,16.639,9.111,29.989,50.328,12.503
Dustveil-21,archive,50.079,29.89,20.876,8.795,22.803,46.7,12.343
Dustveil-22,archive,61.008,24.733,13.506,8.802,38.857,50.332,11.314
Dustveil-23,archive,46.029,24.507,12.737,7.094,26.619,49.157,12.548
Dustveil-24,archive,54.702,21.391,12.826,7.776,34.405,49.457,11.903
Dustveil-25,archive,40.677,20.502,14.398,7.99,27.743,39.411,9.171
Dustveil-26,archive,43.442,30.329,13.387,8.903,23.118,47.837,7.232
Dustveil-27,archive,51.722,31.654,11.171,9.03,34.57,57.344,14.812
Dustveil-28,archive,48.809,18.318,15.055,7.997,29.389,39.996,10.842
Dustveil-29,archive,59.228,26.965,17.098,8.64,39.787,41.428,13.126
Dustveil-30,archive,48.494,28.548,11.62,7.895,27.502,41.123,6.8
Dustveil-31,archive,47.483,30.083,12.954,8.172,25.204,50.138,11.318
Dustveil-32,archive,51.002,32.117,18.107,7.989,32.247,51.225,7.292
Dustveil-33,archive,50.069,24.876,17.614,8.242,29.184,40.589,13.524
Dustveil-34,archive,58.255,27.017,19.393,7.86,37.021,51.626,13.176
Dustveil-35,archive,52.603,21.062,17.94,8.968,34.124,43.57,13.991
Dustveil-36,archive,57.368,30.424,22.938,8.109,36.746,47.179,13.108
Dustveil-37,archive,40.245,24.668,9.755,8.136,28.751,45.57,11.513
Dustveil-38,archive,54.133,23.473,17.143,10.113,32.421,52.625,13.233
Dustveil-39,archive,58.034,37.604,14.194,10.277,30.048,52.066,13.136
Dustveil-40,archive,46.883,27.28,9.528,9.162,19.836,43.217,9.063
Dustveil-41,archive,56.609,18.27,19.989,7.391,38.226,48.678,16.04
Tradewind-01,market,46.294,24.87,12.612,3.703,26.492,33.242,12.152
Tradewind-02,market,55.095,25.184,16.743,3.719,38.359,30.009,12.859
Tradewind-03,market,50.967,22.632,20.858,4.819,28.612,38.34,8.311
Tradewind-04,market,57.232,12.898,14.98,3.978,37.844,35.622,11.612
Tradewind-05,market,43.785,22.361,13.395,5.325,30.58,48.508,9.032
Tradewind-06,market,54.008,5.947,19.956,3.25,46.627,39.456,16.369
Tradewind-07,market,51.159,7.349,25.736,2.902,36.755,30.963,11.827
Tradewind-08,market,55.392,14.052,11.565,3.79,34.397,39.04,14.278
Tradewind-09,market,54.922,13.789,13.912,3.906,36.214,33.145,15.138
Tradewind-10,market,57.636,23.769,16.484,4.385,49.459,38.56,20.548
Tradewind-11,market,50.431,21.999,15.355,4.711,38.458,31.317,12.271
Tradewind-12,market,56.671,18.864,11.399,2.844,40.384,26.661,12.541
Tradewind-13,market,59.064,19.554,24.755,4.99,43.088,47.737,14.529
Tradewind-14,market,47.541,22.575,22.83,5.175,39.492,43.936,12.401
Tradewind-15,market,61.551,13.097,15.743,3.33,33.764,36.404,13.522
Tradewind-16,market,55.545,23.407,19.562,4.654,51.967,32.011,19.999
Tradewind-17,market,54.387,16.825,18.529,1.815,42.016,30.897,14.411
Tradewind-18,market,46.545,11.358,18.033,5.256,37.176,38.102,11.952
Tradewind-19,market,51.474,24.487,15.553,3.817,35.726,28.419,10.528
Tradewind-20,market,48.9,15.47,18.419,4.732,35.191,40.179,14.655
Tradewind-21,market,60.105,17.691,18.231,4.376,37.634,37.891,12.583
Tradewind-22,market,55.238,18.331,19.184,3.734,47.718,36.449,17.398
Tradewind-23,market,60.554,21.887,21.596,3.739,35.75,42.221,10.588
Tradewind-24,market,49.05,10.269,21.384,3.384,32.1,42.023,13.386
Tradewind-25,market,62.269,11.013,16.792,4.004,36.621,38.398,14.733
Tradewind-26,market,56.125,19.675,15.041,5.156,37.721,38.893,12.976
Tradewind-27,market,56.81,21.893,23.02,5.381,41.118,39.096,13.265
Tradewind-28,market,60.456,28.792,19.079,5.196,46.026,39.962,16.042
Tradewind-29,market,55.995,22.719,20.356,4.381,39.294,39.814,13.599
Tradewind-30,market,50.148,20.463,21.631,4.854,41.112,37.873,11.862
Tradewind-31,market,52.083,24.312,17.323,5.807,29.715,31.714,14.326
Tradewind-32,market,45.05,27.313,15.432,4.361,36.153,37.347,11.81
Tradewind-33,market,60.535,14.275,17.913,3.516,44.744,23.139,15.101
Tradewind-34,market,54.273,11.625,15.282,4.357,29.782,40.71,13.243
Tradewind-35,market,61.872,14.721,19.923,4.197,43.943,33.514,18.713
Tradewind-36,market,49.516,5.202,15.596,5.186,54.254,47.555,13.212
Tradewind-37,market,54.712,21.98,18.531,4.45,40.054,36.986,14.13
Tradewind-38,market,53.807,14.215,11.528,5.855,34.934,43.01,11.852
Tradewind-39,market,58.44,25.132,18.704,5.431,46.027,39.22,21.17
Tradewind-40,market,54.424,17.256,13.114,3.989,26.571,34.553,14.563
Tradewind-41,market,54.249,20.123,14.341,3.906,31.168,29.303,13.051
Tradewind-42,market,53.917,11.754,14.071,2.193,39.105,33.487,11.253
Tradewind-43,market,62.249,19.857,13.616,4.434,39.637,35.804,15.012
Tradewind-44,market,56.176,18.079,16.371,4.651,34.311,39.35,12.392
Tradewind-45,market,61.04,12.794,20.619,5.122,35.41,42.328,14.344
Tradewind-46,market,59.54,14.278,18.072,3.647,45.324,39.862,14.452
Tradewind-47,market,49.545,19.344,21.982,4.999,34.238,35.099,16.665
Mistcap-01,cistern,46.276,20.794,9.289,4.509,14.448,33.882,7.165
Mistcap-02,cistern,46.113,22.834,19.317,6.186,24.961,38.528,10.546
Mistcap-03,cistern,44.276,20.68,7.215,4.337,9.356,35.041,5.916
Mistcap-04,cistern,43.016,15.299,11.368,5.094,15.218,34.249,7.846
Mistcap-05,cistern,46.776,23.714,12.743,5.797,14.507,51.258,9.232
Mistcap-06,cistern,31.556,13.343,6.099,3.43,6.236,30.331,6.817
Mistcap-07,cistern,49.094,12.884,12.199,4.176,22.324,25.291,7.047
Mistcap-08,cistern,41.128,20.001,19.315,4.397,12.397,31.853,7.675
Mistcap-09,cistern,49.37,23.862,11.3,5.799,29.649,45.756,12.006
Mistcap-10,cistern,38.038,24.091,4.849,5.952,14.392,48.636,9.262
Mistcap-11,cistern,42.407,20.742,7.001,3.845,13.798,34.695,9.495
Mistcap-12,cistern,42.764,15.8,9.15,2.902,22.12,39.075,13.548
Mistcap-13,cistern,41.484,17.148,13.89,4.015,17.593,34.375,8.743
Mistcap-14,cistern,49.645,14.344,13.058,4.453,13.526,33.592,6.048
Mistcap-15,cistern,32.788,15.308,11.632,5.306,14.2,37.28,8.889
Mistcap-16,cistern,42.193,18.813,11.129,3.916,21.787,40.375,10.785
Mistcap-17,cistern,46.053,17.173,13.349,5.271,21.764,43.211,9.525
Mistcap-18,cistern,41.203,14.461,13.401,2.578,13.266,36.786,10.092
Mistcap-19,cistern,43.133,17.857,8.651,3.667,19.995,26.999,8.763
Mistcap-20,cistern,46.685,15.863,8.972,3.649,14.849,31.177,7.255
Mistcap-21,cistern,44.121,16.354,13.575,5.045,21.369,40.52,9.629
Mistcap-22,cistern,39.208,15.254,16.024,3.916,16.35,35.94,6.925
Mistcap-23,cistern,39.203,23.506,14.802,4.168,19.398,36.011,6.873
Mistcap-24,cistern,33.285,15.235,5.771,3.931,11.644,32.275,8.168
Mistcap-25,cistern,46.017,19.918,16.061,4.917,25.305,34.179,13.952
Mistcap-26,cistern,39.873,19.181,9.127,3.768,7.807,29.474,10.064
Mistcap-27,cistern,38.139,25.424,11.348,5.014,13.423,38.023,10.091
Mistcap-28,cistern,34.226,25.484,10.703,5.578,18.226,44.065,11.328
Mistcap-29,cistern,31.821,22.794,15.4,4.944,14.684,33.591,10.107
Mistcap-30,cistern,37.302,18.713,12.805,3.357,8.973,36.794,9.65
Mistcap-31,cistern,35.28,17.843,11.518,3.716,16.111,32.854,9.577
Mistcap-32,cistern,38.548,18.381,9.163,4.431,24.821,30.273,14.866
Mistcap-33,cistern,48.76,11.771,13.344,4.622,24.028,38.666,11.319
Mistcap-34,cistern,44.151,11.435,14.512,4.184,13.194,33.968,7.787
Mistcap-35,cistern,42.198,17.84,13.359,3.846,13.965,38.145,6.68
Mistcap-36,cistern,49.538,20.039,14.786,6.612,19.458,40.072,8.102
Mistcap-37,cistern,51.143,11.276,15.605,4.196,25.235,42.716,10.386
Mistcap-38,cistern,53.373,25.476,18.69,4.246,34.329,42.053,14.715
Mistcap-39,cistern,43.828,15.312,13.547,4.287,8.701,43.706,12.448
Mistcap-40,cistern,37.237,23.114,9.331,3.892,10.062,33.565,11.519
Mistcap-41,cistern,40.053,15.016,8.688,4.703,11.839,42.161,10.332
Mistcap-42,cistern,43.997,19.117,5.308,4.803,9.553,44.863,8.486
