specimen_id,ingredient,kind,potency,bitterness,aroma_intensity,volatility,luminance,pigment,resin_content,moisture,ash_weight
DI-218,Ghoulroot II,root,50.4,35.8,31.7,28.3,24.4,66.0,17.9,58.1,16.22
DI-126,Fairyring II,mushroom,61.3,41.7,22.5,14.7,47.8,74.0,8.54,50.7,10.73
DI-142,Glasswing Beetle,beetle,82.9,57.2,43.7,29.3,28.3,57.0,19.89,34.8,11.25
DI-023,Gravemint,herb,39.7,32.4,33.7,19.7,22.3,73.0,2.49,61.6,14.96
DI-111,Spectergill II,mushroom,65.6,31.6,28.2,19.9,63.3,78.0,26.95,51.0,13.35
DI-168,Onyx Scarab II,beetle,83.7,53.3,39.1,33.3,38.3,52.0,16.8,44.6,11.09
DI-179,Mandragora Root,root,40.3,48.6,25.0,18.4,30.1,74.0,17.31,56.2,15.82
DI-224,Fenroot II,root,54.0,38.4,19.8,29.8,29.7,94.0,36.51,56.1,12.16
DI-047,Sorrowmoss II,herb,30.1,21.8,20.1,29.5,40.5,45.0,14.2,35.7,5.59
DI-202,Palebulb,root,51.3,35.0,25.1,35.9,43.0,57.0,20.74,39.9,10.74
DI-148,Palescarab,beetle,72.1,36.4,27.4,12.0,30.5,63.0,22.56,41.8,8.9
DI-077,Ghostgill,mushroom,55.2,27.2,30.7,23.9,63.7,57.0,25.2,38.6,14.91
DI-058,Sablerose II,herb,28.6,15.0,25.4,30.0,27.7,60.0,11.75,53.3,11.09
DI-027,Nettlebane,herb,31.7,30.8,32.1,14.3,2.5,55.0,19.74,49.4,14.02
DI-122,Nightgill II,mushroom,54.2,32.2,24.7,32.2,54.2,77.0,18.95,59.7,19.45
DI-004,Foxglove,herb,33.0,28.6,30.3,24.6,21.2,54.0,15.77,41.8,8.31
DI-080,Lichbloom,mushroom,63.3,25.4,37.1,34.1,42.8,49.0,16.22,42.8,8.92
DI-217,Blackbriar Root II,root,57.6,32.3,37.3,27.7,36.3,55.0,18.94,65.2,7.09
DI-150,Sableshell,beetle,80.0,44.0,37.7,26.1,18.2,70.0,20.87,61.2,8.63
DI-140,Bonecrawler,beetle,87.5,37.2,28.6,33.0,22.8,59.0,18.84,48.6,11.34
DI-042,Bloodpetal II,herb,36.5,47.3,23.0,16.5,11.8,68.0,18.8,38.3,12.0
DI-011,Thornapple,herb,42.5,38.9,33.4,33.5,33.4,51.0,18.97,35.6,11.11
DI-162,Stagshell II,beetle,87.1,46.5,45.5,33.8,17.7,62.0,26.31,37.0,12.59
DI-171,Cinderbeetle II,beetle,82.5,59.6,34.5,28.7,15.2,58.0,17.39,38.8,10.07
DI-193,Emberroot,root,52.4,49.6,28.1,29.1,28.9,75.0,3.26,53.0,9.02
DI-128,Coldfire Cap II,mushroom,60.7,42.5,25.1,22.1,63.4,64.0,14.72,48.0,11.92
DI-054,Hexflower II,herb,37.3,37.3,33.0,26.0,38.2,60.0,20.31,43.2,16.96
DI-130,Emberback,beetle,83.3,44.7,45.9,28.9,27.2,52.0,16.51,51.3,9.41
DI-109,Emberpuff II,mushroom,52.2,52.1,25.9,22.6,62.2,61.0,22.91,49.0,4.27
DI-015,Ragwort,herb,38.0,27.1,33.9,34.0,15.3,61.0,19.84,57.0,13.72
DI-155,Dirgebeetle,beetle,89.5,44.8,18.0,25.2,21.6,38.0,8.83,64.9,10.56
DI-060,Ashenbloom II,herb,32.0,30.5,40.2,13.4,34.9,60.0,15.64,47.8,14.84
DI-110,Lichbloom II,mushroom,61.5,35.5,32.9,17.5,57.9,56.0,28.02,47.2,12.22
DI-097,Bogcandle,mushroom,58.4,35.1,42.4,24.9,49.2,50.0,23.17,70.1,14.92
DI-115,Duskmorel II,mushroom,64.5,40.2,39.4,27.7,56.1,74.0,11.66,48.0,8.11
DI-046,Bittercress II,herb,39.3,13.1,11.5,18.8,33.7,71.0,13.29,45.0,6.71
DI-055,Ivythorn II,herb,39.3,35.5,31.4,25.1,37.3,59.0,22.85,25.7,14.13
DI-189,Ashen Tuber,root,49.2,19.8,27.4,31.8,27.2,60.0,11.08,66.5,11.9
DI-061,Nightshade III,herb,30.5,31.5,31.0,26.1,35.6,64.0,16.44,45.4,11.48
DI-173,Hexbeetle II,beetle,84.0,63.5,33.9,30.2,12.2,45.0,19.36,42.5,11.75
DI-090,Grimshroom,mushroom,52.3,22.7,22.4,10.0,69.1,73.0,33.32,57.7,10.29
DI-041,Thornapple II,herb,37.4,37.9,20.7,24.5,20.1,56.0,19.84,44.5,16.74
DI-072,Foxfire Cap,mushroom,58.9,55.2,20.9,21.8,62.7,64.0,19.0,51.7,13.15
DI-098,Coldfire Cap,mushroom,67.8,67.2,22.7,25.5,60.7,84.0,27.66,42.1,7.36
DI-036,Mugwort II,herb,34.3,50.1,45.6,17.2,14.0,50.0,24.3,53.0,26.18
DI-215,Deadmans Finger II,root,60.7,47.7,33.3,21.7,25.4,65.0,17.76,59.6,22.72
DI-069,Hemlock III,herb,34.1,31.8,15.7,26.0,18.5,58.0,10.76,34.0,12.96
DI-053,Gravemint II,herb,39.7,39.5,9.3,15.7,19.1,44.0,9.94,30.7,12.16
DI-083,Glowshank,mushroom,57.7,35.0,30.3,27.7,82.5,62.0,18.56,53.1,15.61
DI-166,Thornbeetle II,beetle,85.7,52.5,52.0,33.7,23.7,45.0,8.9,40.3,10.73
DI-050,Duskbloom II,herb,39.2,38.9,28.1,18.4,18.0,54.0,15.87,41.6,14.32
DI-114,Pallid Veil II,mushroom,64.9,51.9,44.0,33.7,36.0,38.0,25.08,62.6,19.19
DI-009,Hemlock,herb,27.9,19.2,28.6,17.9,14.0,63.0,9.29,43.4,14.31
DI-196,Hagsroot,root,49.9,31.4,31.2,26.6,37.5,72.0,14.03,34.2,11.07
DI-143,Hexbeetle,beetle,81.8,46.9,38.6,44.2,7.2,53.0,13.1,39.7,16.51
DI-092,Nightgill,mushroom,48.9,46.6,29.0,29.5,51.7,63.0,19.64,50.4,15.51
DI-144,Ironmarch,beetle,85.6,41.9,52.9,36.0,42.5,57.0,15.55,38.8,8.56
DI-180,Gallowsroot,root,47.1,55.3,24.5,29.9,25.6,60.0,19.34,51.5,10.8
DI-178,Palescarab II,beetle,92.0,49.4,28.1,43.0,29.6,77.0,16.83,44.9,9.43
DI-183,Witchtaper,root,60.5,33.4,38.7,29.4,13.0,44.0,3.65,34.4,7.06
DI-225,Deathwatch Scarab,beetle,109.6,56.3,64.4,34.6,30.1,49.0,23.23,37.1,13.32
DI-025,Ivythorn,herb,30.0,34.0,25.5,20.7,33.3,64.0,16.52,59.6,9.57
DI-210,Gallowsroot II,root,58.9,47.9,30.2,22.1,27.5,63.0,20.21,49.2,10.49
DI-176,Lanternback II,beetle,86.3,53.9,56.2,25.0,29.6,58.0,12.14,44.2,8.99
DI-019,Starwort,herb,41.6,42.8,37.4,28.3,33.2,64.0,14.37,53.9,9.37
DI-086,Rotcrown,mushroom,66.2,38.6,26.9,35.8,50.7,86.0,22.01,21.0,12.85
DI-182,Corpseroot,root,53.5,43.9,32.9,22.5,32.1,62.0,9.22,49.8,19.29
DI-119,Chillcup II,mushroom,60.1,39.0,27.6,21.3,55.5,72.0,11.33,60.7,9.7
DI-133,Bloodhorn,beetle,87.3,67.4,44.9,28.7,30.4,54.0,17.21,65.2,13.17
DI-017,Sorrowmoss,herb,47.2,24.5,43.3,7.4,36.7,47.0,23.02,51.3,13.95
DI-006,Mugwort,herb,39.7,32.9,25.3,14.2,29.1,68.0,13.89,64.4,13.37
DI-147,Mournbeetle,beetle,94.6,37.7,35.4,36.6,15.3,51.0,12.38,41.0,8.07
DI-037,Yarrow II,herb,31.6,39.0,25.3,7.6,26.8,78.0,19.78,57.9,10.36
DI-064,Foxglove III,herb,32.9,33.9,0.0,13.3,39.7,57.0,19.71,50.4,16.7
DI-107,Ghostgill II,mushroom,57.2,30.7,42.6,34.9,65.7,47.0,32.37,41.5,14.64
DI-051,Emberleaf II,herb,27.3,28.7,26.8,22.4,24.3,47.0,21.27,52.8,8.43
DI-034,Foxglove II,herb,37.8,36.9,17.5,27.6,24.0,77.0,11.11,41.7,15.68
DI-030,Ashenbloom,herb,25.1,25.4,28.0,35.0,17.4,53.0,4.44,44.0,14.8
DI-035,Henbane II,herb,32.9,56.5,10.4,31.7,25.0,66.0,21.06,61.3,16.17
DI-031,Nightshade II,herb,29.0,48.1,19.9,23.8,35.3,47.0,16.07,53.3,10.0
DI-022,Frostfern,herb,38.6,43.4,16.8,22.4,33.5,58.0,10.36,43.7,9.0
DI-096,Fairyring,mushroom,48.5,26.7,22.6,36.4,37.5,40.0,10.33,44.2,11.49
DI-120,Grimshroom II,mushroom,51.3,41.5,24.6,40.3,57.4,75.0,29.1,45.7,14.4
DI-165,Firebrand Beetle II,beetle,85.3,50.0,34.8,28.8,17.9,31.0,18.37,46.4,6.37
DI-007,Yarrow,herb,39.7,24.7,34.3,18.4,31.6,56.0,5.78,52.6,10.86
DI-159,Ironclad Beetle II,beetle,82.9,77.4,32.5,23.7,32.9,62.0,9.66,42.1,11.39
DI-141,Cinderbeetle,beetle,89.3,55.7,33.2,37.6,15.9,38.0,29.02,62.9,18.79
DI-145,Jetcarapace,beetle,72.5,49.9,40.9,31.9,23.3,80.0,10.44,60.7,14.18
DI-206,Underroot,root,48.2,33.4,28.1,29.5,14.7,56.0,13.03,57.0,10.57
DI-014,Witchhazel,herb,30.7,53.6,12.0,19.7,8.6,64.0,18.77,32.6,8.8
DI-188,Ghoulroot,root,36.0,23.6,14.2,21.5,27.4,47.0,12.62,48.2,13.32
DI-112,Wraithcap II,mushroom,55.8,47.8,29.0,26.9,77.7,66.0,20.64,46.9,12.85
DI-118,Barrowbolete II,mushroom,48.0,40.3,30.2,17.8,62.5,72.0,28.43,63.0,14.93
DI-005,Henbane,herb,32.3,19.7,25.0,10.5,18.2,72.0,15.93,26.7,2.89
DI-186,Hollowroot,root,49.7,30.3,26.0,13.0,22.7,59.0,13.69,41.9,6.47
DI-093,Palecrown,mushroom,58.7,36.6,23.5,37.9,85.8,81.0,11.46,57.1,14.96
DI-087,Fentruffle,mushroom,57.3,27.7,22.6,22.5,64.0,60.0,17.57,43.0,11.8
DI-212,Corpseroot II,root,58.7,28.4,17.4,24.5,7.5,56.0,15.59,49.6,17.21
DI-085,Duskmorel,mushroom,65.2,54.7,34.4,38.6,57.4,58.0,22.72,42.5,12.21
DI-198,Knotroot,root,54.2,49.1,33.4,23.3,18.4,56.0,22.16,56.2,16.39
DI-056,Lichbell II,herb,21.4,45.1,22.4,14.6,39.8,59.0,24.9,37.0,4.02
DI-200,Mirewretch Root,root,44.9,47.4,29.1,18.3,14.3,62.0,26.9,62.8,12.63
DI-124,Sporeveil II,mushroom,68.3,50.3,26.2,36.0,52.5,56.0,28.09,41.5,5.6
DI-065,Henbane III,herb,26.7,32.2,27.3,18.7,45.1,52.0,25.25,55.9,3.89
DI-075,Mooncap,mushroom,46.1,39.6,16.6,25.8,64.9,88.0,21.13,65.2,13.24
DI-191,Cinderroot,root,53.4,27.1,37.8,18.6,22.8,65.0,22.61,45.6,11.37
DI-187,Blackbriar Root,root,49.4,28.7,37.3,31.3,26.0,47.0,16.79,54.3,9.37
DI-089,Chillcup,mushroom,62.6,32.4,30.0,26.1,80.9,70.0,19.71,60.1,16.53
DI-158,Nightscarab,beetle,87.9,52.5,45.3,26.4,33.1,58.0,15.08,66.4,11.81
DI-052,Frostfern II,herb,32.3,34.4,15.1,13.6,44.7,60.0,12.99,28.4,10.24
DI-138,Onyx Scarab,beetle,89.2,36.1,45.4,36.1,34.4,81.0,20.38,44.3,16.23
DI-091,Hollowcap,mushroom,66.8,51.6,37.1,24.0,65.1,55.0,28.16,37.2,16.52
DI-125,Wispcap II,mushroom,61.9,35.9,24.9,12.4,54.5,65.0,19.31,37.4,14.26
DI-127,Bogcandle II,mushroom,75.1,68.5,34.7,37.0,68.2,67.0,21.75,48.7,20.25
DI-195,Grimtuber,root,49.4,35.5,25.6,36.3,23.4,60.0,14.59,48.1,2.69
DI-021,Emberleaf,herb,44.0,22.5,23.9,25.7,33.8,65.0,16.55,78.5,11.01
DI-082,Wraithcap,mushroom,53.5,28.3,32.4,15.1,54.2,68.0,21.8,38.6,7.39
DI-032,Wolfsbane II,herb,22.3,25.8,12.6,20.6,40.3,65.0,21.59,48.9,11.07
DI-010,Feverfew,herb,18.7,35.5,31.6,19.2,36.4,76.0,7.89,29.1,9.58
DI-117,Fentruffle II,mushroom,52.6,21.5,19.1,37.1,57.3,64.0,19.12,49.2,10.64
DI-105,Mooncap II,mushroom,60.5,42.1,41.5,14.8,64.1,76.0,11.59,52.6,12.51
DI-146,Lanternback,beetle,96.0,71.1,42.4,16.5,30.0,58.0,20.25,43.9,5.31
DI-214,Gravebulb II,root,47.9,37.7,30.0,37.4,21.6,49.0,10.26,31.0,18.53
DI-094,Sporeveil,mushroom,42.9,43.8,19.9,25.9,61.2,57.0,19.56,61.0,7.4
DI-013,Devilsbit,herb,34.9,25.9,28.6,15.2,32.2,64.0,19.5,46.7,10.71
DI-008,Vervain,herb,25.9,25.1,26.6,18.8,34.0,55.0,11.87,47.5,15.46
DI-100,Marshlantern,mushroom,53.2,39.1,30.9,24.0,66.1,87.0,21.51,43.9,15.19
DI-108,Bluecap II,mushroom,50.0,34.9,16.1,30.3,56.0,65.0,14.67,40.4,4.43
DI-177,Mournbeetle II,beetle,75.5,49.8,41.6,40.4,32.0,52.0,11.54,55.2,3.83
DI-018,Ghostpetal,herb,27.0,37.2,16.7,27.3,8.7,42.0,11.11,44.2,12.43
DI-071,Deathcap,mushroom,65.9,63.0,28.4,24.2,60.7,42.0,17.67,56.9,18.89
DI-220,Bitterroot II,root,51.4,30.4,23.7,27.7,18.7,57.0,27.2,47.8,7.87
DI-190,Bitterroot,root,41.8,36.4,24.8,30.5,32.2,43.0,25.27,54.9,12.89
DI-152,Verdigris Beetle,beetle,81.1,53.0,28.5,36.8,15.6,81.0,17.82,54.8,12.34
DI-205,Thornbulb,root,54.4,44.4,40.1,27.4,20.0,51.0,19.03,36.4,19.73
DI-048,Ghostpetal II,herb,44.0,29.4,37.3,4.9,39.1,65.0,18.57,44.2,10.77
DI-045,Ragwort II,herb,35.4,38.9,34.9,28.9,41.0,64.0,16.73,60.8,12.78
DI-099,Wanderlamp,mushroom,65.6,49.3,28.0,24.5,56.8,78.0,22.47,57.6,16.44
DI-204,Sorrowtuber,root,52.6,49.7,38.0,32.8,15.1,62.0,16.25,42.1,8.31
DI-002,Wolfsbane,herb,27.7,42.5,22.9,4.8,27.8,66.0,23.34,59.5,12.94
DI-199,Loamfinger,root,50.7,31.0,31.7,25.6,21.9,61.0,13.61,51.2,19.09
DI-163,Bloodhorn II,beetle,90.7,55.0,40.9,40.1,3.1,54.0,5.88,52.4,9.46
DI-039,Hemlock II,herb,18.9,26.8,17.5,13.8,37.1,50.0,20.6,28.2,11.25
DI-059,Widowlace II,herb,28.9,29.3,15.6,3.7,35.4,69.0,26.75,64.1,13.36
DI-116,Rotcrown II,mushroom,52.9,39.0,39.3,29.3,61.5,76.0,19.96,48.0,20.5
DI-167,Coppershell II,beetle,87.1,51.5,39.5,26.9,30.1,53.0,12.13,53.6,10.17
DI-104,Witchgill II,mushroom,49.9,37.1,29.8,15.0,34.1,51.0,14.24,46.3,17.25
DI-216,Hollowroot II,root,58.1,36.0,33.1,28.3,21.9,67.0,16.34,53.2,9.37
DI-070,Feverfew III,herb,30.0,33.5,20.0,17.7,11.3,62.0,20.19,36.0,9.1
DI-134,Duskwing,beetle,83.9,63.5,36.3,21.7,30.1,75.0,25.93,50.6,12.96
DI-172,Glasswing Beetle II,beetle,99.8,68.5,42.3,35.3,20.4,72.0,15.86,44.1,16.33
DI-174,Ironmarch II,beetle,80.0,65.2,35.7,23.7,22.7,45.0,4.61,56.4,16.24
DI-028,Sablerose,herb,35.1,44.3,33.4,20.5,36.8,56.0,21.41,50.8,13.2
DI-029,Widowlace,herb,31.2,8.6,23.0,22.2,26.3,51.0,12.04,43.0,11.37
DI-135,Firebrand Beetle,beetle,80.2,45.5,31.8,35.5,24.9,43.0,18.74,40.7,10.74
DI-221,Cinderroot II,root,58.0,41.2,23.5,19.3,26.7,73.0,15.58,73.6,6.24
DI-184,Gravebulb,root,52.7,35.3,12.4,24.1,7.6,47.0,16.99,59.6,6.37
DI-102,Foxfire Cap II,mushroom,61.6,31.9,24.1,33.6,70.1,87.0,21.66,47.9,9.94
DI-067,Yarrow III,herb,38.0,49.2,45.3,27.3,39.5,57.0,25.39,52.5,8.91
DI-213,Witchtaper II,root,52.1,47.0,25.5,16.3,24.4,76.0,0.15,52.9,7.56
DI-211,Barrowtuber II,root,47.3,54.1,27.8,22.1,22.4,56.0,21.24,50.7,10.76
DI-223,Emberroot II,root,54.1,37.2,41.2,21.6,22.6,60.0,17.76,58.5,21.0
DI-057,Nettlebane II,herb,31.9,34.5,22.2,21.3,36.6,70.0,17.18,39.2,4.41
DI-078,Bluecap,mushroom,52.8,51.5,22.7,28.4,74.3,63.0,30.7,27.6,13.05
DI-012,Bloodpetal,herb,35.0,31.6,9.7,29.6,5.8,54.0,17.25,39.5,15.0
DI-185,Deadmans Finger,root,53.2,40.4,20.1,19.7,23.5,55.0,16.44,61.4,19.0
DI-169,Ashborer II,beetle,82.9,30.7,34.7,20.0,36.6,74.0,20.25,56.8,10.13
DI-170,Bonecrawler II,beetle,78.9,49.4,34.0,28.4,16.1,43.0,6.19,45.2,17.55
DI-219,Ashen Tuber II,root,54.7,40.7,39.4,27.0,20.2,57.0,20.25,62.3,18.08
DI-074,Witchgill,mushroom,58.5,34.6,18.8,19.9,56.9,54.0,25.97,31.2,6.58
DI-113,Glowshank II,mushroom,56.6,31.3,23.2,38.2,68.4,65.0,23.45,30.7,14.16
DI-084,Pallid Veil,mushroom,56.7,28.3,19.2,23.5,70.8,60.0,21.26,39.1,11.01
DI-136,Thornbeetle,beetle,93.8,53.8,36.3,35.8,25.4,64.0,19.76,40.2,15.91
DI-044,Witchhazel II,herb,19.2,16.8,11.7,20.6,27.2,72.0,11.68,36.7,6.92
DI-157,Hollowhorn,beetle,73.2,56.0,4.9,31.5,29.1,52.0,15.84,45.2,8.32
DI-073,Gravecowl,mushroom,58.6,40.5,37.3,26.1,64.2,56.0,11.88,41.6,17.0
DI-194,Fenroot,root,50.3,40.5,30.4,27.0,1.3,51.0,14.7,57.0,13.76
DI-207,Wormroot,root,46.3,49.7,25.0,37.6,26.7,62.0,12.06,36.1,5.57
DI-181,Barrowtuber,root,60.1,42.3,38.7,27.1,39.4,65.0,23.51,55.7,12.29
DI-106,Corpsecup II,mushroom,62.2,36.4,26.7,29.2,65.0,62.0,18.59,42.9,14.95
DI-020,Duskbloom,herb,22.7,25.1,33.7,13.6,47.3,53.0,18.6,49.2,5.89
DI-139,Ashborer,beetle,92.8,38.3,33.1,29.0,27.5,54.0,17.64,52.0,14.77
DI-076,Corpsecup,mushroom,62.9,35.8,26.9,27.2,55.8,53.0,19.64,49.2,10.26
DI-079,Emberpuff,mushroom,50.7,35.5,33.0,26.2,72.8,62.0,18.94,32.9,9.87
DI-131,Gravekeeper Beetle,beetle,88.7,45.6,27.1,33.9,39.3,51.0,18.61,58.1,7.09
DI-101,Deathcap II,mushroom,48.2,42.3,26.2,25.5,38.6,48.0,22.55,29.0,14.18
DI-016,Bittercress,herb,29.5,16.8,22.5,21.7,39.9,61.0,30.69,56.2,11.65
DI-081,Spectergill,mushroom,55.8,48.4,37.8,41.9,50.5,53.0,31.57,55.3,14.95
DI-026,Lichbell,herb,40.0,40.6,24.2,24.6,32.2,58.0,16.08,43.7,13.96
DI-068,Vervain III,herb,28.8,16.8,25.6,11.1,46.2,47.0,19.82,56.4,7.59
DI-161,Gravekeeper Beetle II,beetle,84.7,62.8,38.2,25.5,13.6,50.0,14.65,46.2,12.9
DI-175,Jetcarapace II,beetle,76.8,67.0,35.5,20.2,28.9,65.0,20.68,48.0,6.81
DI-192,Dawnbulb,root,58.7,34.3,29.8,19.3,32.0,52.0,18.71,32.0,8.59
DI-049,Starwort II,herb,41.0,45.0,18.2,17.7,13.5,57.0,21.53,33.3,7.32
DI-164,Duskwing II,beetle,76.0,40.8,36.9,19.9,10.1,52.0,21.19,54.9,14.58
DI-121,Hollowcap II,mushroom,54.7,59.7,5.1,17.1,52.2,72.0,20.22,54.8,15.87
DI-129,Ironclad Beetle,beetle,84.1,47.7,36.1,33.2,41.2,59.0,25.11,64.1,8.78
DI-038,Vervain II,herb,27.8,44.8,34.2,15.8,18.4,60.0,16.62,46.9,8.47
DI-209,Mandragora Root II,root,45.1,27.6,32.1,17.0,37.9,38.0,20.77,41.5,22.79
