lichen_isolate,gene_id,expression,expression_normalized
S039,XAN_1216,228.9,-1.105804
S040,XAN_1216,231,1.43922
S041,XAN_1216,230.7,1.883031
S042,XAN_1216,229.9,0.461969
S043,XAN_1216,230.3,-0.080653
S044,XAN_1216,230.3,0.174125
S045,XAN_1216,230.4,-0.408931
S046,XAN_1216,232.2,1.152469
S047,XAN_1216,227.9,-1.413662
S048,XAN_1216,229.7,0.024385
S049,XAN_1216,229.8,-0.231748
S050,XAN_1216,230.1,0.313609
S051,XAN_1216,229.1,-0.726859
S052,XAN_1216,229,-0.875296
S053,XAN_1216,229.3,-0.005425
S054,XAN_1216,229,-0.950305
S055,XAN_1216,229.1,-0.664868
S056,XAN_1216,230,0.016196
S057,XAN_1216,229.3,-1.063068
S058,XAN_1216,230.6,0.239756
S059,XAN_1216,230.8,0.448932
S060,XAN_1216,229.7,-0.229748
S061,XAN_1216,230.2,0.858627
S062,XAN_1216,230.8,0.499887
S063,XAN_1216,229,-0.668083
S064,XAN_1216,229.4,-1.007164
S065,XAN_1216,230.5,0.408074
S066,XAN_1216,227.8,-1.313867
S067,XAN_1216,231,0.647209
S068,XAN_1216,229.7,-0.189209
S069,XAN_1216,231,0.866756
S070,XAN_1216,230.8,0.752152
S071,XAN_1216,230,0.123931
S072,XAN_1216,229.6,-0.547412
S073,XAN_1216,230.1,0.295073
S074,XAN_1216,229.5,-0.480899
S075,XAN_1216,228.6,-0.998015
S076,XAN_1216,229.3,-0.887249
S077,XAN_1216,231.3,1.529536
S078,XAN_1216,230,-0.285506
S079,XAN_1216,228.4,-0.980673
S080,XAN_1216,229.9,-0.742532
S081,XAN_1216,228.5,-1.04524
S082,XAN_1216,229.7,-0.712598
S083,XAN_1216,230.1,0.267866
S084,XAN_1216,231,0.385114
S085,XAN_1216,230.3,0.042504
S086,XAN_1216,231.1,0.865592
S087,XAN_1216,230.5,0.156855
S088,XAN_1216,230.1,0.118002
S089,XAN_1216,230.5,0.388141
S090,XAN_1216,231.6,0.826627
S091,XAN_1216,229.5,-0.422706
S092,XAN_1216,230.8,0.208301
S093,XAN_1216,230.9,0.610614
S094,XAN_1216,231.8,0.647164
S095,XAN_1216,231,1.094294
S096,XAN_1216,229.9,-0.080513
S097,XAN_1216,229.6,-0.028032
S098,XAN_1216,228.8,-0.92663
S099,XAN_1216,229.9,0.52665
S100,XAN_1216,231.4,1.558477
S101,XAN_1216,229.4,-1.055963
S102,XAN_1216,229.8,0.035561
S103,XAN_1216,230.3,0.002357
S104,XAN_1216,228.1,-0.937985
S105,XAN_1216,229.8,-0.372759
S106,XAN_1216,231,0.748998
S107,XAN_1216,230.9,1.103624
S108,XAN_1216,231.6,0.905045
S109,XAN_1216,230.6,0.133624
S110,XAN_1216,230.3,0.44501
S111,XAN_1216,230.4,-0.178104
S112,XAN_1216,230.2,0.328582
S113,XAN_1216,229.9,-0.850586
S114,XAN_1216,229.4,-0.674774
S115,XAN_1216,231.9,1.294147
S116,XAN_1216,231.5,1.041637
S117,XAN_1216,231.2,0.210988
S118,XAN_1216,230.6,0.300333
S119,XAN_1216,231.3,0.562888
S120,XAN_1216,229.9,-0.314947
S121,XAN_1216,232.1,1.334068
S122,XAN_1216,229.5,-0.646302
S123,XAN_1216,228.9,-0.789485
S124,XAN_1216,228.7,-1.06051
S125,XAN_1216,230.2,-0.178834
S126,XAN_1216,229.6,-0.337575
S127,XAN_1216,229.8,-0.517101
S128,XAN_1216,228,-1.210811
S129,XAN_1216,230.9,1.339854
S130,XAN_1216,229.7,0.311393
S131,XAN_1216,230.4,0.969665
S132,XAN_1216,230.1,0.596277
S133,XAN_1216,229.8,-0.20158
S134,XAN_1216,228.3,-1.598684
S135,XAN_1216,231.3,0.563418
S136,XAN_1216,229.7,-0.250995
S137,XAN_1216,231,0.531395
S138,XAN_1216,228.9,-1.180543
S139,XAN_1216,230.3,0.608761
S140,XAN_1216,228.8,-1.621439
S141,XAN_1216,230.3,0.099426
S142,XAN_1216,230,0.031184
S143,XAN_1216,230.5,0.458793
S144,XAN_1216,228.3,-1.142737
S145,XAN_1216,229.4,-0.53539
S146,XAN_1216,227.6,-2.074523
S147,XAN_1216,230.3,0.589426
S148,XAN_1216,230.9,1.158648
S149,XAN_1216,228.4,-1.820072
S150,XAN_1216,228.9,-1.254476
S151,XAN_1216,231.4,1.424211
S152,XAN_1216,229.4,-0.69219
S153,XAN_1216,230.4,0.646235
S154,XAN_1216,232.2,1.07754
S155,XAN_1216,231.2,0.728054
S156,XAN_1216,229.9,-0.320069
S157,XAN_1216,231.9,1.739091
S158,XAN_1216,231.4,0.752241
S159,XAN_1216,230.4,0.955783
S160,XAN_1216,229.9,-0.227458
S161,XAN_1216,230,-0.138849
S162,XAN_1216,230.6,0.249802
S163,XAN_1216,230.2,0.924215
S164,XAN_1216,229.6,0.092817
S165,XAN_1216,228.5,-1.409618
S166,XAN_1216,231.3,1.003363
S167,XAN_1216,229.3,-0.504603
S168,XAN_1216,229.8,-0.781662
S169,XAN_1216,229.2,-0.524252
S170,XAN_1216,230.3,-0.238579
S171,XAN_1216,229.1,-0.192796
S172,XAN_1216,229.9,0.026291
S173,XAN_1216,230,0.71813
S174,XAN_1216,229.6,0.008373
S175,XAN_1216,229.4,-1.299643
S176,XAN_1216,229.7,-0.2722
S177,XAN_1216,227.9,-1.755489
S178,XAN_1216,230.1,-0.300717
S179,XAN_1216,228.6,-1.347141
S180,XAN_1216,229.6,-0.582056
S181,XAN_1216,229.8,-0.374158
S182,XAN_1216,229.7,-0.326618
S183,XAN_1216,228.9,-1.069462
S184,XAN_1216,228.7,-1.236764
S185,XAN_1216,232.7,2.141593
S186,XAN_1216,230.4,0.853394
S187,XAN_1216,228.9,-1.529134
S188,XAN_1216,232.5,1.089664
S189,XAN_1216,228.9,-1.332997
S190,XAN_1216,231.1,1.032294
S191,XAN_1216,230.2,-0.021967
S192,XAN_1216,230.8,0.542863
S193,XAN_1216,229.4,-0.953351
S194,XAN_1216,231.9,0.657065
S195,XAN_1216,230.7,0.506759
S196,XAN_1216,229.6,0.003665
S197,XAN_1216,231.3,1.259171
S198,XAN_1216,230.6,0.155994
S199,XAN_1216,229.8,-0.394206
S200,XAN_1216,230.3,0.214915
S001,XAN_1532,170,-0.519872
S002,XAN_1532,171.5,0.217392
S003,XAN_1532,171.6,0.474401
S004,XAN_1532,169.5,-1.464098
S005,XAN_1532,169.7,-0.853896
S006,XAN_1532,171.5,0.665063
S007,XAN_1532,171.6,0.517604
S008,XAN_1532,172,0.589655
S009,XAN_1532,169.3,-1.451951
S010,XAN_1532,171.5,0.756119
S011,XAN_1532,171.2,-0.281084
S012,XAN_1532,170,-0.958608
S013,XAN_1532,170.7,0.469569
S014,XAN_1532,171.7,0.377025
S015,XAN_1532,171.4,0.720228
S016,XAN_1532,170.8,-0.149937
S017,XAN_1532,171.9,0.924715
S018,XAN_1532,172.8,1.151938
S019,XAN_1532,169.4,-2.176241
S020,XAN_1532,172.2,1.295379
S021,XAN_1532,171.4,0.570926
S022,XAN_1532,172.4,1.201169
S023,XAN_1532,171.4,0.896577
S024,XAN_1532,170.9,-0.061975
S025,XAN_1532,170.7,-0.922754
S026,XAN_1532,169.9,-1.080825
S027,XAN_1532,171.1,0.768286
S028,XAN_1532,171.5,-0.008097
S029,XAN_1532,170.9,-0.013305
S030,XAN_1532,170.5,-0.632573
S031,XAN_1532,170.2,-0.893704
S032,XAN_1532,171.2,0.587629
S033,XAN_1532,170.2,-0.43509
S034,XAN_1532,170.5,-0.045948
S035,XAN_1532,172.5,1.780819
S036,XAN_1532,171.5,0.372941
S037,XAN_1532,172,1.119564
S038,XAN_1532,169.2,-1.104569
S039,XAN_1532,170.8,0.355817
S040,XAN_1532,171.1,0.382079
S041,XAN_1532,171.2,1.099704
S042,XAN_1532,170.8,0.457516
S043,XAN_1532,171.5,0.216627
S044,XAN_1532,171.5,0.48084
S045,XAN_1532,171.7,0.031871
S046,XAN_1532,172.3,0.394349
S047,XAN_1532,169,-1.208508
S048,XAN_1532,171,0.699946
S049,XAN_1532,170.5,-0.466681
S050,XAN_1532,170.8,-0.005482
S051,XAN_1532,171,0.573884
S052,XAN_1532,171.1,1.583618
S053,XAN_1532,170.2,0.003739
S054,XAN_1532,170,-0.844545
S055,XAN_1532,171.3,1.057579
S056,XAN_1532,171.1,0.211371
S057,XAN_1532,170.5,-0.634556
S058,XAN_1532,172,0.816075
S059,XAN_1532,172,0.880285
S060,XAN_1532,169.8,-1.789504
S061,XAN_1532,169.9,-0.97736
S062,XAN_1532,172.2,1.020158
S063,XAN_1532,170.2,-0.193866
S064,XAN_1532,170.5,-0.69028
S065,XAN_1532,171,-0.091402
S066,XAN_1532,168.4,-1.593073
S067,XAN_1532,171.3,-0.367674
S068,XAN_1532,170.8,0.123806
S069,XAN_1532,171.7,0.598978
S070,XAN_1532,171.1,-0.229807
S071,XAN_1532,171.1,0.375976
S072,XAN_1532,171.2,0.383757
S073,XAN_1532,170.2,-0.76286
S074,XAN_1532,171.2,0.4635
S075,XAN_1532,170.4,-0.032866
S076,XAN_1532,170.5,-0.590299
S077,XAN_1532,171.2,0.689078
S078,XAN_1532,171.8,1.158632
S079,XAN_1532,169.2,-1.070833
S080,XAN_1532,171.7,0.196417
S081,XAN_1532,169.7,-0.783019
S082,XAN_1532,171.5,0.113737
S083,XAN_1532,171,0.26138
S084,XAN_1532,171.9,0.364241
S085,XAN_1532,172.2,1.614357
S086,XAN_1532,172.7,1.48921
S087,XAN_1532,172,0.637594
S088,XAN_1532,170.4,-0.5907
S089,XAN_1532,172.1,1.091041
S090,XAN_1532,172.3,0.628439
S091,XAN_1532,171.1,0.356648
S092,XAN_1532,171.8,0.282377
S093,XAN_1532,171.6,0.296739
S094,XAN_1532,173.6,1.376251
S095,XAN_1532,171.9,1.070598
S096,XAN_1532,169.7,-1.514594
S097,XAN_1532,169,-1.200786
S098,XAN_1532,169.8,-0.804262
S099,XAN_1532,170.6,0.234813
S100,XAN_1532,172,1.147397
S101,XAN_1532,169.9,-1.48094
S102,XAN_1532,170.7,0.031276
S103,XAN_1532,171.5,0.581518
S104,XAN_1532,168.1,-1.616366
S105,XAN_1532,171,0.007831
S106,XAN_1532,171.8,0.571185
S107,XAN_1532,171.3,0.433025
S108,XAN_1532,171.7,-0.014549
S109,XAN_1532,172.2,0.781094
S110,XAN_1532,170.1,-0.821619
S111,XAN_1532,170.6,-0.906582
S112,XAN_1532,170.7,-0.387555
S113,XAN_1532,171,-0.524272
S114,XAN_1532,169.8,-1.188035
S115,XAN_1532,172.5,0.971821
S116,XAN_1532,171.8,0.428593
S117,XAN_1532,172,0.063028
S118,XAN_1532,171.6,0.443178
S119,XAN_1532,171.1,-0.670158
S120,XAN_1532,171.1,0.023317
S121,XAN_1532,173.2,1.467073
S122,XAN_1532,170.6,-0.388543
S123,XAN_1532,169.2,-1.453972
S124,XAN_1532,169.4,-1.276212
S125,XAN_1532,171.5,0.143983
S126,XAN_1532,170.8,-0.037694
S127,XAN_1532,170.6,-0.661686
S128,XAN_1532,168.6,-1.380868
S129,XAN_1532,171.1,0.441548
S130,XAN_1532,170,-0.671865
S131,XAN_1532,170.7,-0.033433
S132,XAN_1532,171,0.58689
S133,XAN_1532,171.4,0.475844
S134,XAN_1532,170.1,-0.759804
S135,XAN_1532,171.9,0.187179
S136,XAN_1532,170.3,-0.662508
S137,XAN_1532,172.8,1.305709
S138,XAN_1532,169.9,-1.08066
S139,XAN_1532,171,0.312213
S140,XAN_1532,170.1,-1.111205
S141,XAN_1532,170.9,-0.193293
S142,XAN_1532,172.2,2.571861
S143,XAN_1532,171.6,0.619573
S144,XAN_1532,169.6,-0.772067
S145,XAN_1532,170.4,-0.380282
S146,XAN_1532,169.5,-1.043783
S147,XAN_1532,170.1,-0.425288
S148,XAN_1532,171.8,1.139852
S149,XAN_1532,169.7,-1.441177
S150,XAN_1532,169.5,-1.601394
S151,XAN_1532,171.5,0.015096
S152,XAN_1532,170.4,-0.596299
S153,XAN_1532,171,0.129823
S154,XAN_1532,173,0.983481
S155,XAN_1532,172.6,1.222189
S156,XAN_1532,171.2,0.212771
S157,XAN_1532,171.8,-0.536936
S158,XAN_1532,171.8,0.354292
S159,XAN_1532,171,0.481625
S160,XAN_1532,171.5,0.91375
S161,XAN_1532,170,-1.075696
S162,XAN_1532,171.8,0.506159
S163,XAN_1532,171.2,1.106514
S164,XAN_1532,170.2,-0.309352
S165,XAN_1532,170.2,-0.581805
S166,XAN_1532,171.3,0.12986
S167,XAN_1532,170.7,0.063739
S168,XAN_1532,171.2,0.034669
S169,XAN_1532,170.2,-0.411711
S170,XAN_1532,171.4,0.016109
S171,XAN_1532,169.8,-0.420462
S172,XAN_1532,170.1,-0.967282
S173,XAN_1532,171.8,1.560562
S174,XAN_1532,170.1,-0.229168
S175,XAN_1532,170.6,-0.78175
S176,XAN_1532,170.5,-0.455836
S177,XAN_1532,169.8,-0.832265
S178,XAN_1532,170.9,-0.42653
S179,XAN_1532,169.9,-0.829958
S180,XAN_1532,170.3,-0.89577
S181,XAN_1532,170.6,-0.527197
S182,XAN_1532,171.6,0.88553
S183,XAN_1532,170,-0.79305
S184,XAN_1532,169.7,-1.129792
S185,XAN_1532,173.1,1.633126
S186,XAN_1532,170.5,-0.178536
S187,XAN_1532,170.1,-1.273252
S188,XAN_1532,173.4,1.064936
S189,XAN_1532,170.9,-0.419573
S190,XAN_1532,172.6,1.629623
S191,XAN_1532,170.9,-0.300441
S192,XAN_1532,171.2,-0.002917
S193,XAN_1532,170.1,-1.362176
S194,XAN_1532,172.8,0.632913
S195,XAN_1532,171.4,0.184746
S196,XAN_1532,170.5,0.003824
S197,XAN_1532,171.8,0.896222
S198,XAN_1532,171.3,-0.032945
S199,XAN_1532,170.7,-0.396963
S200,XAN_1532,170.6,-0.413048
S001,XAN_1600,245.2,1.21616
S002,XAN_1600,245,0.040811
S003,XAN_1600,245.2,0.443677
S004,XAN_1600,243.6,-0.921457
S005,XAN_1600,243,-1.215297
S006,XAN_1600,245.9,1.420438
S007,XAN_1600,245.2,0.490922
S008,XAN_1600,245.2,0.042074
S009,XAN_1600,243.9,-0.502473
S010,XAN_1600,244.6,0.091611
S011,XAN_1600,244.3,-1.093494
S012,XAN_1600,243.7,-0.879087
S013,XAN_1600,245.1,1.631711
S014,XAN_1600,244.8,-0.180743
S015,XAN_1600,245.3,1.038962
S016,XAN_1600,245.3,0.764639
S017,XAN_1600,246,1.371958
S018,XAN_1600,246.3,1.046936
S019,XAN_1600,243.9,-1.009316
S020,XAN_1600,245.4,0.790099
S021,XAN_1600,244.2,-0.234817
S022,XAN_1600,245.5,0.712249
S023,XAN_1600,244,-0.243007
S024,XAN_1600,245.5,1.290897
S025,XAN_1600,245.2,0.237352
S026,XAN_1600,243.6,-0.988708
S027,XAN_1600,244,-0.302808
S028,XAN_1600,246.4,1.987433
S029,XAN_1600,244.5,-0.046886
S030,XAN_1600,244.2,-0.557229
S031,XAN_1600,244.5,0.053821
S032,XAN_1600,244.6,0.272049
S033,XAN_1600,244.7,0.734773
S034,XAN_1600,243.9,-0.357841
S035,XAN_1600,246,1.646389
S036,XAN_1600,245.1,0.346559
S037,XAN_1600,245.4,0.630562
S038,XAN_1600,244.1,0.075956
S039,XAN_1600,243.5,-0.97488
S040,XAN_1600,244.5,0.09435
S041,XAN_1600,244.5,0.490682
S042,XAN_1600,244.6,0.645562
S043,XAN_1600,245.4,0.49712
S044,XAN_1600,245,0.348754
S045,XAN_1600,244.4,-1.014839
S046,XAN_1600,246.4,0.820131
S047,XAN_1600,242.1,-1.678837
S048,XAN_1600,244.7,0.828931
S049,XAN_1600,243.7,-0.953838
S050,XAN_1600,244.4,-0.040673
S051,XAN_1600,244.5,0.41482
S052,XAN_1600,243.8,-0.289416
S053,XAN_1600,243.7,-0.244376
S054,XAN_1600,244.3,-0.185721
S055,XAN_1600,243.8,-0.419054
S056,XAN_1600,245.1,0.587629
S057,XAN_1600,243.5,-1.506802
S058,XAN_1600,244.8,-0.16181
S059,XAN_1600,245,-0.072616
S060,XAN_1600,244,-0.663334
S061,XAN_1600,243.6,-0.855907
S062,XAN_1600,244.9,0.024
S063,XAN_1600,244.4,0.69259
S064,XAN_1600,243.2,-2.12426
S065,XAN_1600,244.4,-0.361023
S066,XAN_1600,242.5,-1.1001
S067,XAN_1600,244.6,-0.89727
S068,XAN_1600,244.4,0.087833
S069,XAN_1600,245.3,0.567378
S070,XAN_1600,245.3,0.683607
S071,XAN_1600,244.3,-0.171836
S072,XAN_1600,245.4,1.14676
S073,XAN_1600,245,0.777506
S074,XAN_1600,244.9,0.552369
S075,XAN_1600,243.4,-0.686524
S076,XAN_1600,244.2,-0.514356
S077,XAN_1600,245,0.832735
S078,XAN_1600,245,0.472527
S079,XAN_1600,242.9,-0.980936
S080,XAN_1600,244.9,-0.248595
S081,XAN_1600,243.2,-0.881507
S082,XAN_1600,244.5,-0.459268
S083,XAN_1600,245.2,0.789566
S084,XAN_1600,245.6,0.440457
S085,XAN_1600,244.5,-0.486348
S086,XAN_1600,245.8,1.004248
S087,XAN_1600,245.5,0.533901
S088,XAN_1600,244.9,0.431315
S089,XAN_1600,245.6,0.961136
S090,XAN_1600,246.1,0.776905
S091,XAN_1600,243.5,-0.998288
S092,XAN_1600,245.8,0.615116
S093,XAN_1600,246,1.404881
S094,XAN_1600,247.4,1.51623
S095,XAN_1600,245.4,0.920884
S096,XAN_1600,243.2,-1.668716
S097,XAN_1600,242.1,-1.603348
S098,XAN_1600,243.6,-0.607017
S099,XAN_1600,244.4,0.488039
S100,XAN_1600,245.3,0.73604
S101,XAN_1600,244.3,-0.648616
S102,XAN_1600,244.9,0.930724
S103,XAN_1600,245.4,1.127975
S104,XAN_1600,242.9,-0.703126
S105,XAN_1600,245.2,0.743234
S106,XAN_1600,245.5,0.679873
S107,XAN_1600,245,0.530121
S108,XAN_1600,245.5,0.17782800000000001
S109,XAN_1600,245.8,0.754943
S110,XAN_1600,244.2,-0.276295
S111,XAN_1600,244.5,-0.623105
S112,XAN_1600,243.9,-1.125795
S113,XAN_1600,245.6,1.097117
S114,XAN_1600,244.1,-0.487625
S115,XAN_1600,245.8,0.654561
S116,XAN_1600,246.2,1.182132
S117,XAN_1600,245.9,0.390527
S118,XAN_1600,244.7,-0.429424
S119,XAN_1600,245.8,0.505858
S120,XAN_1600,243.7,-1.143488
S121,XAN_1600,246.4,1.118932
S122,XAN_1600,243.9,-0.799146
S123,XAN_1600,243.5,-0.687539
S124,XAN_1600,243.2,-1.066966
S125,XAN_1600,244.2,-0.616363
