bath,bath_type,pair,parameter,replicate,value
plunge_glacier,cold_plunge,,free_chlorine_ppm,9,1.954
plunge_glacier,cold_plunge,,free_chlorine_ppm,10,2.26
plunge_glacier,cold_plunge,,free_chlorine_ppm,11,2.27
plunge_glacier,cold_plunge,,free_chlorine_ppm,12,1.772
plunge_glacier,cold_plunge,,calcium_hardness_ppm,1,168.336
plunge_glacier,cold_plunge,,calcium_hardness_ppm,2,195.291
plunge_glacier,cold_plunge,,calcium_hardness_ppm,3,167.071
plunge_glacier,cold_plunge,,calcium_hardness_ppm,4,172.966
plunge_glacier,cold_plunge,,calcium_hardness_ppm,5,184.674
plunge_glacier,cold_plunge,,calcium_hardness_ppm,6,157.581
plunge_glacier,cold_plunge,,calcium_hardness_ppm,7,194.064
plunge_glacier,cold_plunge,,calcium_hardness_ppm,8,155.816
plunge_glacier,cold_plunge,,calcium_hardness_ppm,9,167.87
plunge_glacier,cold_plunge,,calcium_hardness_ppm,10,173.648
plunge_glacier,cold_plunge,,calcium_hardness_ppm,11,170.357
plunge_glacier,cold_plunge,,calcium_hardness_ppm,12,219.034
plunge_glacier,cold_plunge,,total_alkalinity_ppm,1,92.833
plunge_glacier,cold_plunge,,total_alkalinity_ppm,2,91.503
plunge_glacier,cold_plunge,,total_alkalinity_ppm,3,87.123
plunge_glacier,cold_plunge,,total_alkalinity_ppm,4,109.866
plunge_glacier,cold_plunge,,total_alkalinity_ppm,5,91.941
plunge_glacier,cold_plunge,,total_alkalinity_ppm,6,85.798
plunge_glacier,cold_plunge,,total_alkalinity_ppm,7,96.728
plunge_glacier,cold_plunge,,total_alkalinity_ppm,8,98.242
plunge_glacier,cold_plunge,,total_alkalinity_ppm,9,85.158
plunge_glacier,cold_plunge,,total_alkalinity_ppm,10,94.083
plunge_glacier,cold_plunge,,total_alkalinity_ppm,11,102.839
plunge_glacier,cold_plunge,,total_alkalinity_ppm,12,90.465
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,1,649.416
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,2,588.062
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,3,587.066
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,4,572.248
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,5,509.371
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,6,583.564
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,7,566.622
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,8,423.002
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,9,606.603
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,10,607.219
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,11,569.328
plunge_glacier,cold_plunge,,total_dissolved_solids_ppm,12,575.676
plunge_glacier,cold_plunge,,turbidity_NTU,1,0.368
plunge_glacier,cold_plunge,,turbidity_NTU,2,0.472
plunge_glacier,cold_plunge,,turbidity_NTU,3,0.402
plunge_glacier,cold_plunge,,turbidity_NTU,4,0.333
plunge_glacier,cold_plunge,,turbidity_NTU,5,0.294
plunge_glacier,cold_plunge,,turbidity_NTU,6,0.295
plunge_glacier,cold_plunge,,turbidity_NTU,7,0.431
plunge_glacier,cold_plunge,,turbidity_NTU,8,0.3
plunge_glacier,cold_plunge,,turbidity_NTU,9,0.376
plunge_glacier,cold_plunge,,turbidity_NTU,10,0.452
plunge_glacier,cold_plunge,,turbidity_NTU,11,0.424
plunge_glacier,cold_plunge,,turbidity_NTU,12,0.428
plunge_fjord,cold_plunge,,temperature_C,1,11.373
plunge_fjord,cold_plunge,,temperature_C,2,11.145
plunge_fjord,cold_plunge,,temperature_C,3,11.97
plunge_fjord,cold_plunge,,temperature_C,4,11.291
plunge_fjord,cold_plunge,,temperature_C,5,11.629
plunge_fjord,cold_plunge,,temperature_C,6,10.647
plunge_fjord,cold_plunge,,temperature_C,7,11.089
plunge_fjord,cold_plunge,,temperature_C,8,11.482
plunge_fjord,cold_plunge,,temperature_C,9,11.551
plunge_fjord,cold_plunge,,temperature_C,10,10.679
plunge_fjord,cold_plunge,,temperature_C,11,11.435
plunge_fjord,cold_plunge,,temperature_C,12,11.153
plunge_fjord,cold_plunge,,pH,1,7.472
plunge_fjord,cold_plunge,,pH,2,7.372
plunge_fjord,cold_plunge,,pH,3,7.561
plunge_fjord,cold_plunge,,pH,4,7.476
plunge_fjord,cold_plunge,,pH,5,7.528
plunge_fjord,cold_plunge,,pH,6,7.49
plunge_fjord,cold_plunge,,pH,7,7.445
plunge_fjord,cold_plunge,,pH,8,7.522
plunge_fjord,cold_plunge,,pH,9,7.427
plunge_fjord,cold_plunge,,pH,10,7.478
plunge_fjord,cold_plunge,,pH,11,7.396
plunge_fjord,cold_plunge,,pH,12,7.497
plunge_fjord,cold_plunge,,salinity_ppt,1,0.411
plunge_fjord,cold_plunge,,salinity_ppt,2,0.448
plunge_fjord,cold_plunge,,salinity_ppt,3,0.396
plunge_fjord,cold_plunge,,salinity_ppt,4,0.396
plunge_fjord,cold_plunge,,salinity_ppt,5,0.403
plunge_fjord,cold_plunge,,salinity_ppt,6,0.364
plunge_fjord,cold_plunge,,salinity_ppt,7,0.33
plunge_fjord,cold_plunge,,salinity_ppt,8,0.282
plunge_fjord,cold_plunge,,salinity_ppt,9,0.425
plunge_fjord,cold_plunge,,salinity_ppt,10,0.463
plunge_fjord,cold_plunge,,salinity_ppt,11,0.455
plunge_fjord,cold_plunge,,salinity_ppt,12,0.359
plunge_fjord,cold_plunge,,free_chlorine_ppm,1,1.556
plunge_fjord,cold_plunge,,free_chlorine_ppm,2,2.029
plunge_fjord,cold_plunge,,free_chlorine_ppm,3,2.154
plunge_fjord,cold_plunge,,free_chlorine_ppm,4,2.011
plunge_fjord,cold_plunge,,free_chlorine_ppm,5,1.653
plunge_fjord,cold_plunge,,free_chlorine_ppm,6,2.153
plunge_fjord,cold_plunge,,free_chlorine_ppm,7,1.799
plunge_fjord,cold_plunge,,free_chlorine_ppm,8,2.135
plunge_fjord,cold_plunge,,free_chlorine_ppm,9,2.207
plunge_fjord,cold_plunge,,free_chlorine_ppm,10,1.748
plunge_fjord,cold_plunge,,free_chlorine_ppm,11,2.141
plunge_fjord,cold_plunge,,free_chlorine_ppm,12,2.554
plunge_fjord,cold_plunge,,calcium_hardness_ppm,1,200.662
plunge_fjord,cold_plunge,,calcium_hardness_ppm,2,169.553
plunge_fjord,cold_plunge,,calcium_hardness_ppm,3,200.428
plunge_fjord,cold_plunge,,calcium_hardness_ppm,4,174.032
plunge_fjord,cold_plunge,,calcium_hardness_ppm,5,201.057
plunge_fjord,cold_plunge,,calcium_hardness_ppm,6,200.665
plunge_fjord,cold_plunge,,calcium_hardness_ppm,7,169.221
plunge_fjord,cold_plunge,,calcium_hardness_ppm,8,158.869
plunge_fjord,cold_plunge,,calcium_hardness_ppm,9,169.087
plunge_fjord,cold_plunge,,calcium_hardness_ppm,10,204.393
plunge_fjord,cold_plunge,,calcium_hardness_ppm,11,159.906
plunge_fjord,cold_plunge,,calcium_hardness_ppm,12,177.156
plunge_fjord,cold_plunge,,total_alkalinity_ppm,1,98.664
plunge_fjord,cold_plunge,,total_alkalinity_ppm,2,82.189
plunge_fjord,cold_plunge,,total_alkalinity_ppm,3,96.268
plunge_fjord,cold_plunge,,total_alkalinity_ppm,4,103.977
plunge_fjord,cold_plunge,,total_alkalinity_ppm,5,100.683
plunge_fjord,cold_plunge,,total_alkalinity_ppm,6,83.305
plunge_fjord,cold_plunge,,total_alkalinity_ppm,7,97.252
plunge_fjord,cold_plunge,,total_alkalinity_ppm,8,80.749
plunge_fjord,cold_plunge,,total_alkalinity_ppm,9,87.521
plunge_fjord,cold_plunge,,total_alkalinity_ppm,10,100.317
plunge_fjord,cold_plunge,,total_alkalinity_ppm,11,111.223
plunge_fjord,cold_plunge,,total_alkalinity_ppm,12,81.762
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,1,517.129
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,2,600.299
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,3,537.09
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,4,468.728
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,5,673.488
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,6,677.658
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,7,643.87
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,8,562.82
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,9,682.047
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,10,708.322
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,11,514.937
plunge_fjord,cold_plunge,,total_dissolved_solids_ppm,12,535.16
plunge_fjord,cold_plunge,,turbidity_NTU,1,0.218
plunge_fjord,cold_plunge,,turbidity_NTU,2,0.424
plunge_fjord,cold_plunge,,turbidity_NTU,3,0.319
plunge_fjord,cold_plunge,,turbidity_NTU,4,0.219
plunge_fjord,cold_plunge,,turbidity_NTU,5,0.358
plunge_fjord,cold_plunge,,turbidity_NTU,6,0.413
plunge_fjord,cold_plunge,,turbidity_NTU,7,0.362
plunge_fjord,cold_plunge,,turbidity_NTU,8,0.401
plunge_fjord,cold_plunge,,turbidity_NTU,9,0.283
plunge_fjord,cold_plunge,,turbidity_NTU,10,0.324
plunge_fjord,cold_plunge,,turbidity_NTU,11,0.415
plunge_fjord,cold_plunge,,turbidity_NTU,12,0.363
brine_north,saltwater_bath,,temperature_C,1,27.818
brine_north,saltwater_bath,,temperature_C,2,28.226
brine_north,saltwater_bath,,temperature_C,3,27.614
brine_north,saltwater_bath,,temperature_C,4,27.858
brine_north,saltwater_bath,,temperature_C,5,28.925
brine_north,saltwater_bath,,temperature_C,6,26.886
brine_north,saltwater_bath,,temperature_C,7,28.077
brine_north,saltwater_bath,,temperature_C,8,28.145
brine_north,saltwater_bath,,temperature_C,9,28.403
brine_north,saltwater_bath,,temperature_C,10,29.17
brine_north,saltwater_bath,,temperature_C,11,29.006
brine_north,saltwater_bath,,temperature_C,12,28.406
brine_north,saltwater_bath,,pH,1,7.781
brine_north,saltwater_bath,,pH,2,7.911
brine_north,saltwater_bath,,pH,3,7.822
brine_north,saltwater_bath,,pH,4,7.89
brine_north,saltwater_bath,,pH,5,7.909
brine_north,saltwater_bath,,pH,6,7.836
brine_north,saltwater_bath,,pH,7,7.888
brine_north,saltwater_bath,,pH,8,7.976
brine_north,saltwater_bath,,pH,9,7.9
brine_north,saltwater_bath,,pH,10,7.843
brine_north,saltwater_bath,,pH,11,7.804
brine_north,saltwater_bath,,pH,12,7.786
brine_north,saltwater_bath,,salinity_ppt,1,37.793
brine_north,saltwater_bath,,salinity_ppt,2,32.644
brine_north,saltwater_bath,,salinity_ppt,3,32.041
brine_north,saltwater_bath,,salinity_ppt,4,31.675
brine_north,saltwater_bath,,salinity_ppt,5,34.33
brine_north,saltwater_bath,,salinity_ppt,6,31.091
brine_north,saltwater_bath,,salinity_ppt,7,32.843
brine_north,saltwater_bath,,salinity_ppt,8,33.007
brine_north,saltwater_bath,,salinity_ppt,9,31.716
brine_north,saltwater_bath,,salinity_ppt,10,33.508
brine_north,saltwater_bath,,salinity_ppt,11,31.456
brine_north,saltwater_bath,,salinity_ppt,12,38.944
brine_north,saltwater_bath,,free_chlorine_ppm,1,1.718
brine_north,saltwater_bath,,free_chlorine_ppm,2,1.35
brine_north,saltwater_bath,,free_chlorine_ppm,3,2.02
brine_north,saltwater_bath,,free_chlorine_ppm,4,1.707
brine_north,saltwater_bath,,free_chlorine_ppm,5,1.663
brine_north,saltwater_bath,,free_chlorine_ppm,6,1.551
brine_north,saltwater_bath,,free_chlorine_ppm,7,1.705
brine_north,saltwater_bath,,free_chlorine_ppm,8,1.46
brine_north,saltwater_bath,,free_chlorine_ppm,9,1.547
brine_north,saltwater_bath,,free_chlorine_ppm,10,1.964
brine_north,saltwater_bath,,free_chlorine_ppm,11,1.348
brine_north,saltwater_bath,,free_chlorine_ppm,12,1.287
brine_north,saltwater_bath,,calcium_hardness_ppm,1,250.181
brine_north,saltwater_bath,,calcium_hardness_ppm,2,245.026
brine_north,saltwater_bath,,calcium_hardness_ppm,3,227.307
brine_north,saltwater_bath,,calcium_hardness_ppm,4,224.923
brine_north,saltwater_bath,,calcium_hardness_ppm,5,211.707
brine_north,saltwater_bath,,calcium_hardness_ppm,6,240.194
brine_north,saltwater_bath,,calcium_hardness_ppm,7,232.444
brine_north,saltwater_bath,,calcium_hardness_ppm,8,235.312
brine_north,saltwater_bath,,calcium_hardness_ppm,9,270.727
brine_north,saltwater_bath,,calcium_hardness_ppm,10,225.202
brine_north,saltwater_bath,,calcium_hardness_ppm,11,267.171
brine_north,saltwater_bath,,calcium_hardness_ppm,12,241.433
brine_north,saltwater_bath,,total_alkalinity_ppm,1,117.808
brine_north,saltwater_bath,,total_alkalinity_ppm,2,112.462
brine_north,saltwater_bath,,total_alkalinity_ppm,3,104.339
brine_north,saltwater_bath,,total_alkalinity_ppm,4,93.768
brine_north,saltwater_bath,,total_alkalinity_ppm,5,116.461
brine_north,saltwater_bath,,total_alkalinity_ppm,6,106.78
brine_north,saltwater_bath,,total_alkalinity_ppm,7,133.307
brine_north,saltwater_bath,,total_alkalinity_ppm,8,121.508
brine_north,saltwater_bath,,total_alkalinity_ppm,9,104.364
brine_north,saltwater_bath,,total_alkalinity_ppm,10,115.425
brine_north,saltwater_bath,,total_alkalinity_ppm,11,127.311
brine_north,saltwater_bath,,total_alkalinity_ppm,12,118.886
brine_north,saltwater_bath,,total_dissolved_solids_ppm,1,35394.003
brine_north,saltwater_bath,,total_dissolved_solids_ppm,2,32560.26
brine_north,saltwater_bath,,total_dissolved_solids_ppm,3,32199.234
brine_north,saltwater_bath,,total_dissolved_solids_ppm,4,34726.516
brine_north,saltwater_bath,,total_dissolved_solids_ppm,5,34623.15
brine_north,saltwater_bath,,total_dissolved_solids_ppm,6,32757.194
brine_north,saltwater_bath,,total_dissolved_solids_ppm,7,33753.004
brine_north,saltwater_bath,,total_dissolved_solids_ppm,8,33296.64
brine_north,saltwater_bath,,total_dissolved_solids_ppm,9,34382.912
brine_north,saltwater_bath,,total_dissolved_solids_ppm,10,33942.16
brine_north,saltwater_bath,,total_dissolved_solids_ppm,11,31819.287
brine_north,saltwater_bath,,total_dissolved_solids_ppm,12,32744.191
brine_north,saltwater_bath,,turbidity_NTU,1,0.764
brine_north,saltwater_bath,,turbidity_NTU,2,0.833
brine_north,saltwater_bath,,turbidity_NTU,3,0.723
brine_north,saltwater_bath,,turbidity_NTU,4,0.578
brine_north,saltwater_bath,,turbidity_NTU,5,0.834
brine_north,saltwater_bath,,turbidity_NTU,6,0.764
brine_north,saltwater_bath,,turbidity_NTU,7,0.792
brine_north,saltwater_bath,,turbidity_NTU,8,0.578
brine_north,saltwater_bath,,turbidity_NTU,9,0.8
brine_north,saltwater_bath,,turbidity_NTU,10,0.585
brine_north,saltwater_bath,,turbidity_NTU,11,0.661
brine_north,saltwater_bath,,turbidity_NTU,12,0.866
brine_south,saltwater_bath,,temperature_C,1,28.222
brine_south,saltwater_bath,,temperature_C,2,28.077
brine_south,saltwater_bath,,temperature_C,3,27.587
brine_south,saltwater_bath,,temperature_C,4,27.168
brine_south,saltwater_bath,,temperature_C,5,27.774
brine_south,saltwater_bath,,temperature_C,6,26.398
brine_south,saltwater_bath,,temperature_C,7,29.232
brine_south,saltwater_bath,,temperature_C,8,26.625
brine_south,saltwater_bath,,temperature_C,9,28.381
brine_south,saltwater_bath,,temperature_C,10,27.501
brine_south,saltwater_bath,,temperature_C,11,27.471
brine_south,saltwater_bath,,temperature_C,12,27.204
brine_south,saltwater_bath,,pH,1,8.076
brine_south,saltwater_bath,,pH,2,7.976
brine_south,saltwater_bath,,pH,3,7.779
brine_south,saltwater_bath,,pH,4,7.957
brine_south,saltwater_bath,,pH,5,7.776
brine_south,saltwater_bath,,pH,6,7.891
brine_south,saltwater_bath,,pH,7,7.988
brine_south,saltwater_bath,,pH,8,7.933
brine_south,saltwater_bath,,pH,9,7.959
brine_south,saltwater_bath,,pH,10,7.916
brine_south,saltwater_bath,,pH,11,7.834
brine_south,saltwater_bath,,pH,12,7.914
brine_south,saltwater_bath,,salinity_ppt,1,36.778
brine_south,saltwater_bath,,salinity_ppt,2,37.98
brine_south,saltwater_bath,,salinity_ppt,3,35.681
brine_south,saltwater_bath,,salinity_ppt,4,36.656
brine_south,saltwater_bath,,salinity_ppt,5,38.786
brine_south,saltwater_bath,,salinity_ppt,6,37.749
brine_south,saltwater_bath,,salinity_ppt,7,38.856
brine_south,saltwater_bath,,salinity_ppt,8,37.745
brine_south,saltwater_bath,,salinity_ppt,9,45.515
brine_south,saltwater_bath,,salinity_ppt,10,38.086
brine_south,saltwater_bath,,salinity_ppt,11,39.341
brine_south,saltwater_bath,,salinity_ppt,12,45.309
brine_south,saltwater_bath,,free_chlorine_ppm,1,1.358
brine_south,saltwater_bath,,free_chlorine_ppm,2,1.751
brine_south,saltwater_bath,,free_chlorine_ppm,3,1.29
brine_south,saltwater_bath,,free_chlorine_ppm,4,1.385
brine_south,saltwater_bath,,free_chlorine_ppm,5,1.303
brine_south,saltwater_bath,,free_chlorine_ppm,6,1.4
brine_south,saltwater_bath,,free_chlorine_ppm,7,1.578
brine_south,saltwater_bath,,free_chlorine_ppm,8,1.493
brine_south,saltwater_bath,,free_chlorine_ppm,9,1.393
brine_south,saltwater_bath,,free_chlorine_ppm,10,1.718
brine_south,saltwater_bath,,free_chlorine_ppm,11,1.892
brine_south,saltwater_bath,,free_chlorine_ppm,12,1.503
brine_south,saltwater_bath,,calcium_hardness_ppm,1,247.019
brine_south,saltwater_bath,,calcium_hardness_ppm,2,217.639
brine_south,saltwater_bath,,calcium_hardness_ppm,3,235.29
brine_south,saltwater_bath,,calcium_hardness_ppm,4,228.788
brine_south,saltwater_bath,,calcium_hardness_ppm,5,211.814
brine_south,saltwater_bath,,calcium_hardness_ppm,6,252.251
brine_south,saltwater_bath,,calcium_hardness_ppm,7,238.65
brine_south,saltwater_bath,,calcium_hardness_ppm,8,232.485
brine_south,saltwater_bath,,calcium_hardness_ppm,9,237.582
brine_south,saltwater_bath,,calcium_hardness_ppm,10,219.87
brine_south,saltwater_bath,,calcium_hardness_ppm,11,244.498
brine_south,saltwater_bath,,calcium_hardness_ppm,12,206.873
brine_south,saltwater_bath,,total_alkalinity_ppm,1,122.361
brine_south,saltwater_bath,,total_alkalinity_ppm,2,109.558
brine_south,saltwater_bath,,total_alkalinity_ppm,3,118.521
brine_south,saltwater_bath,,total_alkalinity_ppm,4,100.866
brine_south,saltwater_bath,,total_alkalinity_ppm,5,93.618
brine_south,saltwater_bath,,total_alkalinity_ppm,6,107.859
brine_south,saltwater_bath,,total_alkalinity_ppm,7,93.055
brine_south,saltwater_bath,,total_alkalinity_ppm,8,98.934
brine_south,saltwater_bath,,total_alkalinity_ppm,9,101.388
brine_south,saltwater_bath,,total_alkalinity_ppm,10,114.884
brine_south,saltwater_bath,,total_alkalinity_ppm,11,123.88
brine_south,saltwater_bath,,total_alkalinity_ppm,12,102.75
brine_south,saltwater_bath,,total_dissolved_solids_ppm,1,35511.098
brine_south,saltwater_bath,,total_dissolved_solids_ppm,2,36147.276
brine_south,saltwater_bath,,total_dissolved_solids_ppm,3,30816.322
brine_south,saltwater_bath,,total_dissolved_solids_ppm,4,32469.027
brine_south,saltwater_bath,,total_dissolved_solids_ppm,5,35058.539
brine_south,saltwater_bath,,total_dissolved_solids_ppm,6,33375.913
brine_south,saltwater_bath,,total_dissolved_solids_ppm,7,33985.138
brine_south,saltwater_bath,,total_dissolved_solids_ppm,8,32915.48
brine_south,saltwater_bath,,total_dissolved_solids_ppm,9,33651.074
brine_south,saltwater_bath,,total_dissolved_solids_ppm,10,33485.605
brine_south,saltwater_bath,,total_dissolved_solids_ppm,11,32667.028
brine_south,saltwater_bath,,total_dissolved_solids_ppm,12,35011.696
brine_south,saltwater_bath,,turbidity_NTU,1,0.63
brine_south,saltwater_bath,,turbidity_NTU,2,0.849
brine_south,saltwater_bath,,turbidity_NTU,3,0.722
brine_south,saltwater_bath,,turbidity_NTU,4,0.563
brine_south,saltwater_bath,,turbidity_NTU,5,0.392
brine_south,saltwater_bath,,turbidity_NTU,6,0.709
brine_south,saltwater_bath,,turbidity_NTU,7,0.775
brine_south,saltwater_bath,,turbidity_NTU,8,0.65
brine_south,saltwater_bath,,turbidity_NTU,9,0.664
brine_south,saltwater_bath,,turbidity_NTU,10,0.671
brine_south,saltwater_bath,,turbidity_NTU,11,0.699
brine_south,saltwater_bath,,turbidity_NTU,12,0.632
warm_birch,warm_bath,,temperature_C,1,36.856
warm_birch,warm_bath,,temperature_C,2,36.716
warm_birch,warm_bath,,temperature_C,3,37.405
warm_birch,warm_bath,,temperature_C,4,37.255
warm_birch,warm_bath,,temperature_C,5,36.91
warm_birch,warm_bath,,temperature_C,6,37.142
warm_birch,warm_bath,,temperature_C,7,37.322
warm_birch,warm_bath,,temperature_C,8,36.643
warm_birch,warm_bath,,temperature_C,9,37.143
warm_birch,warm_bath,,temperature_C,10,36.588
warm_birch,warm_bath,,temperature_C,11,37.297
warm_birch,warm_bath,,temperature_C,12,36.205
warm_birch,warm_bath,,pH,1,7.467
warm_birch,warm_bath,,pH,2,7.425
warm_birch,warm_bath,,pH,3,7.417
warm_birch,warm_bath,,pH,4,7.454
warm_birch,warm_bath,,pH,5,7.399
warm_birch,warm_bath,,pH,6,7.338
warm_birch,warm_bath,,pH,7,7.45
warm_birch,warm_bath,,pH,8,7.475
warm_birch,warm_bath,,pH,9,7.471
warm_birch,warm_bath,,pH,10,7.398
warm_birch,warm_bath,,pH,11,7.353
warm_birch,warm_bath,,pH,12,7.428
warm_birch,warm_bath,,salinity_ppt,1,0.537
warm_birch,warm_bath,,salinity_ppt,2,0.483
warm_birch,warm_bath,,salinity_ppt,3,0.512
warm_birch,warm_bath,,salinity_ppt,4,0.497
warm_birch,warm_bath,,salinity_ppt,5,0.549
warm_birch,warm_bath,,salinity_ppt,6,0.517
warm_birch,warm_bath,,salinity_ppt,7,0.564
warm_birch,warm_bath,,salinity_ppt,8,0.626
warm_birch,warm_bath,,salinity_ppt,9,0.483
warm_birch,warm_bath,,salinity_ppt,10,0.566
warm_birch,warm_bath,,salinity_ppt,11,0.46
warm_birch,warm_bath,,salinity_ppt,12,0.472
warm_birch,warm_bath,,free_chlorine_ppm,1,2.132
warm_birch,warm_bath,,free_chlorine_ppm,2,1.804
warm_birch,warm_bath,,free_chlorine_ppm,3,1.797
warm_birch,warm_bath,,free_chlorine_ppm,4,1.678
warm_birch,warm_bath,,free_chlorine_ppm,5,2.491
warm_birch,warm_bath,,free_chlorine_ppm,6,2.192
warm_birch,warm_bath,,free_chlorine_ppm,7,1.772
warm_birch,warm_bath,,free_chlorine_ppm,8,2.319
warm_birch,warm_bath,,free_chlorine_ppm,9,1.956
warm_birch,warm_bath,,free_chlorine_ppm,10,2.085
warm_birch,warm_bath,,free_chlorine_ppm,11,2.125
warm_birch,warm_bath,,free_chlorine_ppm,12,2.258
warm_birch,warm_bath,,calcium_hardness_ppm,1,253.771
warm_birch,warm_bath,,calcium_hardness_ppm,2,198.423
warm_birch,warm_bath,,calcium_hardness_ppm,3,210.301
warm_birch,warm_bath,,calcium_hardness_ppm,4,201.792
warm_birch,warm_bath,,calcium_hardness_ppm,5,189.289
warm_birch,warm_bath,,calcium_hardness_ppm,6,206.634
warm_birch,warm_bath,,calcium_hardness_ppm,7,201.394
warm_birch,warm_bath,,calcium_hardness_ppm,8,170.926
warm_birch,warm_bath,,calcium_hardness_ppm,9,214.358
warm_birch,warm_bath,,calcium_hardness_ppm,10,207.676
warm_birch,warm_bath,,calcium_hardness_ppm,11,165.73
warm_birch,warm_bath,,calcium_hardness_ppm,12,183.323
warm_birch,warm_bath,,total_alkalinity_ppm,1,108.667
warm_birch,warm_bath,,total_alkalinity_ppm,2,95.299
warm_birch,warm_bath,,total_alkalinity_ppm,3,102.315
warm_birch,warm_bath,,total_alkalinity_ppm,4,105.775
warm_birch,warm_bath,,total_alkalinity_ppm,5,102.514
warm_birch,warm_bath,,total_alkalinity_ppm,6,108.332
warm_birch,warm_bath,,total_alkalinity_ppm,7,93.976
warm_birch,warm_bath,,total_alkalinity_ppm,8,81.85
warm_birch,warm_bath,,total_alkalinity_ppm,9,109.226
warm_birch,warm_bath,,total_alkalinity_ppm,10,88.734
warm_birch,warm_bath,,total_alkalinity_ppm,11,111.404
warm_birch,warm_bath,,total_alkalinity_ppm,12,99.977
warm_birch,warm_bath,,total_dissolved_solids_ppm,1,718.014
warm_birch,warm_bath,,total_dissolved_solids_ppm,2,636.034
warm_birch,warm_bath,,total_dissolved_solids_ppm,3,856.225
warm_birch,warm_bath,,total_dissolved_solids_ppm,4,732.504
warm_birch,warm_bath,,total_dissolved_solids_ppm,5,731.34
warm_birch,warm_bath,,total_dissolved_solids_ppm,6,791.055
warm_birch,warm_bath,,total_dissolved_solids_ppm,7,816.742
warm_birch,warm_bath,,total_dissolved_solids_ppm,8,759.156
